run_id,galaxy,npts,chi2_bary,chi2_qds,redchi2_bary,redchi2_qds,imp_chi2_clip0,imp_redchi2_clip0,v0,lam,AICc_bary,AICc_qds,AICc_win,BIC_bary,BIC_qds,BIC_win,n,improve_pct,out_csv
qds_fit_out_flatboost_20251213_003324,F563-V2,10,163.941,1.77939,16.3941,0.222424,98.91461562391348,98.643268004953,108.583,2.18673,163.941,7.493675714285715,1,163.941,6.384560185988092,1,10,98.643,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/F563-V2_QDS_bestfit.csv
qds_fit_out_flatboost_20251213_003324,F565-V2,7,259.915,0.475259,37.1307,0.0950518,99.8171482984822,99.74400751938423,87.5484,4.31724,259.915,7.475259,1,259.915,4.367079298110626,1,7,99.744,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/F565-V2_QDS_bestfit.csv
qds_fit_out_flatboost_20251213_003324,F567-2,5,17.7389,0.861613,3.54777,0.287204,95.14280479623879,91.90466123790438,36.6171,2.56578,17.7389,10.861613,1,17.7389,4.0804888248682,1,5,91.905,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/F567-2_QDS_bestfit.csv
qds_fit_out_flatboost_20251213_003324,F568-1,12,345.218,1.97175,28.7682,0.197175,99.42883916829365,99.3146077961082,125.632,3.32388,345.218,7.305083333333333,1,345.218,6.941563299576001,1,12,99.315,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/F568-1_QDS_bestfit.csv
qds_fit_out_flatboost_20251213_003324,F568-3,18,273.719,22.1372,15.2066,1.38357,91.91243574614843,90.90151644680599,107.586,6.68302,273.719,26.9372,1,273.719,27.91794351579233,1,18,90.902,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/F568-3_QDS_bestfit.csv
qds_fit_out_flatboost_20251213_003324,F568-V1,15,473.529,0.807033,31.5686,0.0620795,99.82957052260791,99.80335048117433,106.646,2.1998,473.529,5.807033,1,473.529,6.22313340220442,1,15,99.803,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/F568-V1_QDS_bestfit.csv
qds_fit_out_flatboost_20251213_003324,F571-8,13,1600.76,522.334,123.135,47.4849,67.3696244283965,61.436715799732006,239.385,16.4337,1600.76,527.534,1,1600.76,527.4638987149231,1,13,61.437,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/F571-8_QDS_bestfit.csv
qds_fit_out_flatboost_20251213_003324,F571-V1,7,206.228,0.427007,29.4612,0.0854015,99.79294421708013,99.71012212672939,80.3965,4.69629,206.228,7.427007,1,206.228,4.318827298110627,1,7,99.710,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/F571-V1_QDS_bestfit.csv
qds_fit_out_flatboost_20251213_003324,F574-1,14,889.951,3.76058,63.5679,0.313382,99.57743965679009,99.5070121869686,84.4094,2.94483,889.951,8.85148909090909,1,889.951,9.038694659230517,1,14,99.507,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/F574-1_QDS_bestfit.csv
qds_fit_out_flatboost_20251213_005057,F574-2,5,3.3569881462025783,3.3569881462025783,0.6713976292405157,1.1189960487341928,0.0,0.0,0.0,0.005,3.3569881462025783,13.356988146202578,0,3.3569881462025783,6.575863971070779,0,5,0.0,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_005057/F574-2_QDS_bestfit.csv
qds_fit_out_flatboost_20251213_005109,F579-V1,14,192.09790381468886,0.4267040801494537,13.721278843906347,0.03555867334578781,99.77787155836896,99.74085015143046,83.4,0.8085977015833735,192.09790381468886,5.517613171058545,1,192.09790381468886,5.70481873937997,1,14,99.77787155836896,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_005109/F579-V1_QDS_bestfit.csv
qds_fit_out_flatboost_20251213_003324,F583-1,25,905.976,8.34642,36.239,0.362888,99.078737185091,98.99862578989487,83.2756,3.93819,905.976,12.891874545454545,1,905.976,14.7841716497364,1,25,98.999,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/F583-1_QDS_bestfit.csv
qds_fit_out_flatboost_20251213_003324,F583-4,12,209.296,3.52223,17.4413,0.352223,98.31710591697882,97.98052324081348,55.1854,2.56578,209.296,8.855563333333334,1,209.296,8.492043299576,1,12,97.981,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/F583-4_QDS_bestfit.csv
qds_fit_out_flatboost_20251213_003324,IC2574,34,7407.34,86.2142,217.863,2.69419,98.83609770848913,98.76335587043233,134.025,18.7995,7407.34,90.60129677419356,1,7407.34,93.26692104923232,1,34,98.763,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/IC2574_QDS_bestfit.csv
qds_fit_out_flatboost_20251213_005057,IC4202,32,1850.4739547012236,1616.2364063754828,57.82731108441324,53.87454687918276,12.658246160701067,6.835462571414474,550.0,92.83177667225561,1850.4739547012236,1620.6501994789312,1,1850.4739547012236,1623.1678781810822,1,32,12.658246160701067,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_005057/IC4202_QDS_bestfit.csv
qds_fit_out_flatboost_20251213_003324,KK98-251,15,228.241,4.55582,15.2161,0.350448,98.00394320038906,97.6968605621677,52.6556,3.93819,228.241,9.55582,1,228.241,9.97192040220442,1,15,97.697,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/KK98-251_QDS_bestfit.csv
