r_kpc,Vobs,err,Vgas,Vdisk,Vbul
0.19,153.00,8.00,0.96,24.40,233.17
0.56,130.00,9.00,2.86,62.52,168.53
0.94,128.00,3.00,4.50,91.94,137.01
1.22,134.00,3.00,5.34,109.48,120.39
1.59,129.00,4.00,6.46,127.82,105.47
1.96,131.00,7.00,6.51,138.39,94.99
2.34,138.00,8.00,6.51,151.17,86.94
2.71,139.00,5.00,6.44,166.55,80.79
2.99,143.00,3.00,6.38,170.50,76.91
3.37,146.00,2.00,7.55,177.07,72.44
3.74,154.00,2.00,10.54,180.71,68.77
4.12,161.00,1.00,12.86,184.13,65.52
4.40,167.00,2.00,13.54,187.91,63.40
4.77,173.00,2.00,14.41,193.15,60.89
5.15,176.00,4.00,17.51,197.95,58.60
5.52,178.00,5.00,20.80,204.45,56.60
5.89,180.00,3.00,23.41,204.89,54.80
6.17,179.00,4.00,25.15,201.57,53.54
6.55,180.00,5.00,27.66,200.86,51.96
6.92,181.00,4.00,31.15,201.34,50.55
7.30,179.00,4.00,34.05,198.33,49.22
7.58,179.00,2.00,34.92,194.96,48.30
7.95,179.00,1.00,35.89,189.92,47.17
8.33,178.00,1.00,37.34,184.93,46.08
8.70,177.00,2.00,38.88,182.77,45.09
9.08,176.00,2.00,39.08,181.24,44.13
9.36,173.00,3.00,38.40,179.87,43.47
9.73,172.00,2.00,37.72,177.19,42.63
10.10,172.00,2.00,37.43,174.69,41.85
10.48,170.00,2.00,37.14,171.99,41.08
10.76,171.00,2.00,36.66,170.15,40.54
11.13,174.00,2.00,35.89,167.51,39.86
11.51,174.00,2.00,36.08,164.95,39.20
11.88,175.00,2.00,36.76,162.35,38.58
12.26,174.00,2.00,37.82,159.81,37.98
12.54,173.00,6.00,38.79,158.00,37.55
12.91,173.00,6.00,40.14,155.62,37.01
13.29,173.00,8.00,42.08,153.17,36.48
13.66,175.00,9.00,44.01,150.89,35.98
14.03,174.00,9.00,45.46,148.68,35.50
14.31,171.00,9.00,46.53,147.06,35.16
14.69,167.00,8.00,45.94,144.87,34.70
15.06,165.00,7.00,44.59,142.80,34.27
15.44,163.00,8.00,44.01,140.80,33.84
15.72,162.00,8.00,44.20,139.35,33.54
16.09,161.00,9.00,33.85,137.46,33.15
16.47,159.00,10.00,33.85,135.59,32.77
16.84,158.00,10.00,33.85,133.88,32.41
17.21,157.00,10.00,33.85,132.20,32.06
17.50,157.00,10.00,33.85,130.89,31.79
17.87,157.00,9.00,33.85,129.30,31.46
18.24,160.00,11.00,33.85,127.80,31.14
18.62,159.00,12.00,33.85,126.30,30.82
18.90,160.00,14.00,33.85,125.20,30.59
19.27,158.00,16.00,33.85,123.92,30.30
19.65,155.00,18.00,33.85,122.75,30.00
20.02,157.00,19.00,33.85,121.08,29.72
20.40,154.00,21.00,33.85,119.50,29.44
