r_kpc,Vobs,err,Vgas,Vdisk,Vbul
1.70,305.00,10.00,0.00,92.31,265.84
3.41,257.00,10.00,0.00,152.76,236.42
6.82,256.00,10.00,0.00,220.93,175.44
13.67,271.00,10.00,0.00,244.90,123.90
19.49,282.00,10.00,0.00,240.52,103.77
23.36,287.00,10.00,28.79,238.85,94.78
27.24,283.00,10.00,40.20,232.97,87.77
31.22,280.00,10.00,45.05,223.71,81.99
35.10,280.00,10.00,50.30,214.74,77.32
38.97,281.00,10.00,59.70,206.96,73.38
42.85,282.00,10.00,67.17,198.69,69.98
46.73,287.00,10.00,65.05,189.07,67.02
50.71,292.00,10.00,71.21,184.25,64.33
54.58,298.00,10.00,79.19,180.41,62.01
58.46,298.00,10.00,83.33,174.83,59.92
62.34,298.00,10.00,83.33,168.07,58.02
66.21,298.00,10.00,82.83,162.78,56.30
70.19,298.00,10.00,85.86,158.17,54.68
74.07,298.00,10.00,86.26,152.97,53.23
