r_kpc,Vobs,err,Vgas,Vdisk,Vbul
3.54,223.00,8.00,-9.23,117.85,111.10
4.23,230.00,6.13,-10.88,124.82,101.71
4.97,248.00,5.10,-12.52,131.42,93.86
5.74,258.00,6.60,-13.93,141.81,87.33
6.47,263.00,7.00,-14.91,151.83,82.27
7.22,272.00,6.25,-15.46,163.57,77.87
8.02,287.00,4.01,-16.00,173.43,73.88
8.79,289.00,7.25,-16.33,181.85,70.57
9.50,292.00,6.93,-16.22,190.10,67.89
10.27,302.00,10.40,-15.46,200.43,65.29
11.08,302.00,10.30,-13.50,209.52,62.86
11.82,304.00,10.40,-9.20,214.14,60.86
12.56,303.00,10.40,5.72,217.36,59.04
13.39,305.00,10.10,13.39,220.24,57.18
14.10,300.00,8.78,17.64,222.33,55.72
14.93,295.00,9.72,21.66,222.27,54.15
15.64,294.00,5.32,24.38,221.26,52.91
16.35,290.00,5.32,26.24,221.10,51.75
17.18,291.00,4.03,27.98,220.98,50.48
17.89,286.00,3.25,29.72,218.99,49.47
18.72,287.00,3.61,31.57,215.15,48.36
19.44,294.00,3.35,33.20,212.39,47.46
20.26,290.00,3.75,35.16,210.49,46.49
20.98,288.00,3.04,37.01,208.75,45.68
21.69,290.00,6.40,38.65,206.74,44.93
22.52,294.00,4.19,40.50,204.38,44.09
23.23,297.00,4.12,41.91,202.43,43.41
24.06,293.00,5.15,43.22,200.72,42.66
24.77,291.00,6.21,44.20,199.42,42.04
25.95,297.00,4.00,45.18,197.86,41.07
28.92,292.00,4.00,43.33,193.43,38.91
31.76,288.00,4.00,45.72,184.74,37.13
34.72,285.00,4.00,47.57,180.34,35.51
