r_kpc,Vobs,err,Vgas,Vdisk,Vbul
0.14,5.23,5.31,-0.97,4.32,0.00
0.42,15.40,7.78,0.23,11.34,0.00
0.69,24.40,4.00,3.77,17.59,0.00
0.97,32.10,4.00,5.25,23.49,0.00
1.25,34.60,4.00,5.18,27.96,0.00
1.52,37.90,4.00,-5.25,30.30,0.00
1.80,40.50,4.00,-9.36,30.65,0.00
2.07,43.00,4.00,-9.36,30.82,0.00
2.35,45.10,4.00,-7.81,31.07,0.00
2.63,45.60,4.00,-5.60,31.29,0.00
2.91,49.20,13.00,-4.88,31.96,0.00
3.19,50.30,4.00,-6.06,32.66,0.00
3.46,53.70,4.19,-7.65,33.34,0.00
3.74,58.00,7.53,-8.90,33.79,0.00
4.01,64.40,4.00,-9.52,33.93,0.00
4.29,67.50,4.00,-10.37,34.12,0.00
4.57,71.30,4.00,-8.76,34.51,0.00
4.85,75.60,4.00,1.41,34.99,0.00
5.13,80.00,4.00,9.52,35.27,0.00
5.40,82.80,4.00,17.13,35.21,0.00
5.68,84.80,15.70,23.98,35.26,0.00
5.86,86.30,16.80,27.31,35.38,0.00
6.36,90.20,8.07,36.83,34.91,0.00
6.51,91.30,4.00,39.02,34.54,0.00
6.69,92.80,8.75,38.64,34.02,0.00
