r_kpc,Vobs,err,Vgas,Vdisk,Vbul
1.23,28.70,3.40,13.65,27.50,0.00
1.84,37.60,2.60,18.65,32.63,0.00
2.46,43.10,1.20,21.85,36.38,0.00
3.07,50.10,2.80,25.04,38.70,0.00
3.68,58.10,4.50,28.73,39.68,0.00
4.30,64.60,4.10,32.28,39.98,0.00
4.91,68.50,2.70,34.59,39.99,0.00
5.52,72.30,0.80,36.37,39.87,0.00
6.14,74.20,2.40,37.73,39.71,0.00
6.75,78.90,2.60,38.68,39.75,0.00
7.37,82.40,2.30,39.30,40.35,0.00
7.98,84.30,4.80,39.72,41.04,0.00
8.59,85.40,7.30,40.39,41.57,0.00
9.21,85.30,4.60,40.44,42.03,0.00
9.82,86.80,4.00,39.94,42.44,0.00
10.43,85.40,5.70,39.15,42.87,0.00
11.05,85.40,7.00,37.71,43.32,0.00
11.66,86.20,4.10,36.23,43.95,0.00
12.28,86.10,6.20,35.41,44.71,0.00
12.89,87.40,2.50,34.67,45.88,0.00
13.50,86.50,5.50,33.61,48.00,0.00
