r_kpc,Vobs,err,Vgas,Vdisk,Vbul
1.61,23.40,10.00,5.21,28.61,0.00
3.23,40.60,5.00,10.57,37.58,0.00
4.84,45.50,5.00,15.71,39.10,0.00
6.45,49.20,5.00,20.94,44.01,0.00
8.06,50.40,5.00,25.97,48.52,0.00
9.66,50.40,5.00,29.26,49.44,0.00
