r_kpc,Vobs,err,Vgas,Vdisk,Vbul
1.74,96.40,12.10,5.73,129.95,70.64
3.50,157.00,10.50,16.49,217.21,49.80
5.24,192.00,8.40,21.44,237.63,40.70
6.98,201.00,6.90,24.35,246.25,35.27
8.72,201.00,7.30,30.50,251.02,31.55
10.47,194.00,6.40,41.92,230.73,28.80
12.19,190.00,6.00,51.62,208.57,26.69
13.94,186.00,6.40,50.11,192.80,24.96
15.68,184.00,6.40,48.39,179.28,23.53
17.42,182.00,7.30,52.05,169.24,22.32
19.16,181.00,6.60,50.54,160.07,21.29
20.90,183.00,6.50,48.06,151.49,20.38
22.65,185.00,6.50,52.27,145.00,19.58
24.39,186.00,9.10,50.33,138.91,18.87
26.13,186.00,11.40,47.42,133.62,18.23
27.87,184.00,13.60,44.83,128.95,17.65
29.61,185.00,13.60,43.00,124.77,17.12
