r_kpc,Vobs,err,Vgas,Vdisk,Vbul
0.76,206.00,16.00,2.44,95.41,277.30
2.28,214.00,10.00,5.15,214.07,218.08
3.80,222.00,8.00,8.48,237.47,168.95
5.33,224.00,8.00,16.65,222.81,142.66
6.85,225.00,8.00,22.40,206.17,125.84
8.00,222.00,6.00,24.58,191.74,116.44
10.28,220.00,3.00,28.49,177.55,102.72
12.56,218.00,2.00,30.21,168.02,92.93
14.91,219.00,2.00,36.41,156.39,85.29
17.15,217.00,2.00,41.69,147.04,79.53
19.39,218.00,2.00,45.72,140.32,74.79
21.64,220.00,2.00,51.92,136.88,70.80
24.01,222.00,2.00,56.74,130.88,67.21
26.25,218.00,3.00,58.35,124.11,64.28
28.50,217.00,3.00,56.74,118.34,61.69
30.87,207.00,3.00,53.30,113.45,59.28
33.12,199.00,3.00,51.34,109.20,57.23
35.36,191.00,3.00,48.70,105.32,55.39
37.73,193.00,3.00,46.75,101.61,53.62
39.98,192.00,3.00,45.26,98.44,52.09
42.22,194.00,4.00,43.99,95.58,50.69
44.59,196.00,5.00,42.84,92.77,49.32
