r_kpc,Vobs,err,Vgas,Vdisk,Vbul
0.92,234.00,12.00,-5.19,121.44,254.98
2.32,192.00,12.00,-10.42,280.89,185.98
3.24,212.00,6.30,-11.44,325.09,158.37
4.17,223.00,4.41,-11.64,311.44,139.66
5.10,222.00,4.01,-11.54,293.95,126.35
6.03,224.00,3.85,-11.44,280.55,116.30
6.96,224.00,3.23,-9.02,271.70,108.06
7.89,226.00,3.40,6.44,260.33,101.60
8.80,226.00,3.21,16.24,254.40,96.17
9.73,227.00,2.75,25.64,241.26,91.46
10.64,227.00,2.65,32.27,231.49,87.46
11.58,224.00,2.35,35.44,224.36,83.84
12.52,220.00,2.43,42.18,213.50,80.63
13.46,218.00,2.30,46.37,208.00,77.76
14.40,217.00,2.77,49.33,200.84,75.18
15.33,216.00,4.43,49.33,193.84,72.86
16.27,210.00,4.47,47.29,188.07,70.73
17.11,208.00,4.35,45.04,182.56,68.97
