r_kpc,Vobs,err,Vgas,Vdisk,Vbul
0.16,1.99,1.50,1.86,3.75,0.00
0.41,4.84,1.50,4.24,9.47,0.00
0.57,6.79,1.50,5.61,11.76,0.00
0.73,8.87,1.50,6.77,13.72,0.00
0.90,10.90,1.50,7.77,14.80,0.00
1.06,12.90,1.50,8.44,15.24,0.00
1.22,14.70,1.50,8.64,15.11,0.00
1.47,16.80,1.50,8.08,15.90,0.00
1.79,20.10,1.50,6.91,14.91,0.00
