r_kpc,Vobs,err,Vgas,Vdisk,Vbul
0.49,211.00,40.10,64.37,73.17,233.76
0.98,233.00,17.40,75.60,130.38,272.92
1.47,227.00,14.40,68.11,176.13,246.78
1.97,234.00,10.80,61.94,213.49,213.16
2.46,245.00,7.67,60.52,244.17,190.74
2.95,244.00,23.30,69.43,261.90,174.18
3.44,261.00,23.30,75.40,273.58,161.30
3.93,259.00,22.70,73.37,276.37,150.91
4.42,258.00,22.70,68.82,276.54,142.30
4.92,258.00,22.50,65.78,278.71,134.88
5.74,261.00,22.40,61.84,282.13,124.87
6.56,263.00,22.40,59.41,284.24,116.81
7.37,264.00,22.30,58.09,281.24,110.20
8.19,265.00,22.20,58.09,279.02,104.54
9.01,265.00,22.20,58.19,277.30,99.67
9.83,264.00,22.00,57.28,272.35,95.42
10.65,264.00,21.90,55.06,264.11,91.67
11.47,265.00,22.00,51.82,254.75,88.34
