r_kpc,Vobs,err,Vgas,Vdisk,Vbul
1.45,216.00,10.00,0.00,240.90,0.00
2.88,215.00,7.00,0.00,232.56,0.00
4.33,215.00,5.00,0.00,235.54,0.00
5.78,214.00,4.00,0.00,243.76,0.00
7.22,215.00,4.00,0.00,245.32,0.00
8.66,221.00,3.00,0.00,253.00,0.00
11.55,233.00,3.00,11.24,281.58,0.00
14.48,237.00,3.00,27.45,299.81,0.00
17.28,242.00,3.00,40.74,295.15,0.00
20.20,241.00,3.00,51.22,293.48,0.00
23.12,240.00,3.00,57.81,284.89,0.00
26.04,234.00,3.00,56.95,267.33,0.00
28.84,226.00,3.00,55.22,249.73,0.00
31.76,213.00,3.00,52.84,235.27,0.00
34.68,207.00,3.00,50.68,223.76,0.00
37.48,208.00,4.00,48.19,210.28,0.00
40.40,209.00,4.00,45.17,200.01,0.00
43.32,207.00,4.00,42.57,191.48,0.00
46.24,213.00,6.00,40.95,184.17,0.00
