r_kpc,Vobs,err,Vgas,Vdisk,Vbul
5.49,198.00,10.00,0.00,186.83,108.11
6.17,195.00,5.00,10.14,197.40,102.70
6.92,194.00,4.00,19.07,203.18,97.43
7.69,195.00,3.00,24.03,205.95,92.74
8.36,195.00,3.00,26.62,205.73,88.92
9.12,195.00,3.00,28.67,202.75,85.21
9.88,192.00,7.00,29.74,195.44,81.90
10.56,188.00,8.00,29.63,185.44,79.23
11.31,186.00,7.00,29.42,175.66,76.58
12.08,186.00,6.00,29.85,166.96,74.10
12.77,186.00,5.00,30.50,160.29,72.07
13.47,185.00,6.00,31.57,154.56,70.18
14.17,180.00,10.00,32.44,149.44,68.41
14.98,163.00,8.00,32.98,144.15,66.54
15.68,162.00,6.00,32.44,140.03,65.04
16.37,164.00,5.00,31.79,136.17,63.66
17.19,166.00,5.00,30.82,132.07,62.12
17.88,166.00,5.00,29.63,128.95,60.91
18.58,166.00,5.00,28.56,126.05,59.75
19.39,166.00,5.00,27.91,122.95,58.49
20.09,168.00,5.00,27.26,120.47,57.46
20.79,172.00,5.00,26.40,118.15,56.49
21.48,173.00,5.00,25.97,116.00,55.57
22.30,171.00,5.00,26.08,113.61,54.54
22.99,170.00,5.00,26.40,111.72,53.72
23.69,172.00,5.00,27.16,109.89,52.92
24.39,173.00,5.00,28.88,108.16,52.15
25.20,176.00,5.00,30.17,106.26,51.31
25.90,178.00,5.00,29.96,104.71,50.61
26.59,180.00,6.00,29.63,103.24,49.95
27.41,180.00,8.00,29.10,101.58,49.19
28.10,180.00,5.00,28.45,100.24,48.59
28.80,180.00,5.00,28.02,98.94,47.99
29.61,178.00,5.00,27.59,97.50,47.33
30.31,174.00,5.00,27.59,96.31,46.78
31.01,170.00,10.00,26.19,95.16,46.25
