r_kpc,Vobs,err,Vgas,Vdisk,Vbul
0.22,50.20,7.50,5.62,33.24,0.00
0.66,62.20,7.51,13.36,44.88,0.00
1.11,72.40,5.35,17.38,43.65,0.00
1.55,73.20,3.31,17.38,39.37,0.00
2.00,72.90,3.21,17.17,35.30,0.00
2.45,72.60,2.73,16.22,31.81,0.00
2.89,71.50,3.41,15.26,28.94,0.00
3.34,71.10,4.38,14.31,26.66,0.00
3.78,71.40,4.60,13.46,24.88,0.00
4.22,71.50,5.68,13.36,23.42,0.00
4.66,71.50,6.20,13.36,22.20,0.00
5.11,71.30,6.43,13.46,21.14,0.00
5.56,71.80,9.68,13.46,20.22,0.00
6.00,71.50,10.50,14.31,19.44,0.00
