r_kpc,Vobs,err,Vgas,Vdisk,Vbul
0.47,15.30,4.40,0.25,12.99,0.00
1.41,41.00,4.36,0.88,32.88,0.00
2.35,60.70,4.40,1.88,41.13,0.00
3.29,74.90,4.40,3.41,42.43,0.00
4.22,83.00,6.28,5.43,44.37,0.00
5.17,86.80,4.40,7.80,46.69,0.00
6.11,89.40,4.40,10.44,48.85,0.00
7.05,92.50,4.40,13.15,49.34,0.00
7.99,94.70,4.40,16.07,50.15,0.00
8.92,96.30,4.40,18.98,49.17,0.00
9.87,97.80,4.40,21.99,49.76,0.00
10.79,98.80,4.62,25.00,50.33,0.00
11.80,99.50,4.40,27.82,50.68,0.00
12.60,99.70,5.14,30.02,50.19,0.00
