r_kpc,Vobs,err,Vgas,Vdisk,Vbul
0.33,20.50,4.17,5.04,10.80,0.00
0.99,19.90,1.82,10.80,19.85,0.00
1.65,19.30,1.69,12.30,20.13,0.00
2.31,18.80,1.90,12.70,18.24,0.00
2.97,18.20,1.74,13.30,16.21,0.00
3.63,18.30,2.22,14.20,14.50,0.00
