r_kpc,Vobs,err,Vgas,Vdisk,Vbul
0.28,168.00,49.70,0.42,42.14,211.56
0.37,187.00,40.20,0.61,53.98,220.85
0.47,204.00,26.90,0.79,66.33,227.40
0.56,218.00,23.50,0.96,76.79,231.50
0.65,232.00,8.63,1.14,86.68,234.01
0.75,243.00,4.97,1.31,97.06,236.69
0.84,253.00,3.65,1.48,105.90,240.47
0.93,262.00,2.86,1.66,114.28,245.03
1.03,269.00,3.80,1.83,123.11,249.19
1.12,275.00,5.39,2.00,130.64,251.82
1.21,280.00,5.01,2.17,137.79,253.43
1.30,284.00,10.00,2.33,144.60,253.93
1.41,287.00,6.59,2.50,152.47,253.45
1.50,289.00,3.56,2.66,158.56,252.44
1.59,290.00,6.13,2.82,164.36,251.04
1.68,291.00,10.20,2.97,169.88,249.18
1.78,292.00,8.61,3.12,175.70,246.75
1.87,292.00,11.20,3.26,180.66,244.32
1.96,291.00,5.15,3.39,185.38,241.92
2.05,291.00,4.92,3.50,189.88,239.71
2.16,291.00,9.32,3.61,195.08,237.06
2.25,290.00,7.19,3.70,199.10,234.93
2.34,290.00,12.20,3.76,202.92,232.89
2.43,290.00,7.94,3.79,206.55,231.12
2.46,290.00,5.16,3.79,207.71,230.63
2.53,290.00,3.56,3.79,210.36,229.44
2.62,290.00,3.79,3.80,213.61,227.90
2.71,290.00,5.65,3.81,216.71,226.55
2.80,290.00,9.38,3.84,219.64,225.09
2.99,290.00,10.60,3.94,225.37,221.46
3.28,291.00,15.30,4.12,233.01,215.11
3.74,292.00,18.80,4.56,241.64,204.42
3.83,292.00,15.20,4.69,242.91,202.36
4.02,292.00,19.80,5.12,245.41,198.15
4.09,292.00,2.40,5.35,246.19,196.62
4.12,292.00,9.00,5.40,246.51,195.97
4.30,291.00,8.71,6.12,248.01,192.16
4.39,291.00,7.92,6.56,248.54,190.25
4.49,291.00,8.84,7.04,249.06,188.24
4.58,290.00,4.20,7.58,249.41,186.48
4.87,289.00,10.60,9.59,250.14,181.04
4.91,288.00,2.26,10.06,250.19,180.31
4.96,288.00,6.97,10.42,250.25,179.41
5.05,287.00,3.23,11.18,250.32,177.88
5.14,287.00,10.20,12.03,250.34,176.33
5.24,286.00,10.30,12.78,250.33,174.68
5.33,286.00,17.80,13.42,250.26,173.23
5.42,285.00,11.40,14.16,250.17,171.83
5.51,285.00,12.00,14.91,250.09,170.39
5.61,284.00,4.03,15.66,250.01,168.90
5.71,284.00,4.73,16.40,249.99,167.49
5.80,283.00,6.44,17.15,249.96,166.22
5.89,283.00,4.96,17.89,249.90,164.93
5.98,283.00,5.37,18.64,249.84,163.71
6.08,283.00,11.00,19.38,249.76,162.34
6.15,283.00,1.14,20.02,249.70,161.44
6.17,283.00,17.30,20.24,249.69,161.19
6.26,283.00,7.94,21.09,249.61,160.00
6.35,283.00,18.30,21.83,249.49,158.86
6.73,284.00,10.50,24.60,248.66,154.26
6.83,284.00,9.37,25.24,248.30,153.14
6.92,285.00,12.90,25.88,247.92,152.15
7.37,288.00,1.24,28.33,245.58,147.41
8.60,297.00,2.13,31.20,235.09,136.47
9.83,305.00,5.07,29.29,222.03,127.66
