r_kpc,Vobs,err,Vgas,Vdisk,Vbul
2.50,206.00,75.00,0.00,122.77,171.60
7.49,285.00,8.00,0.00,218.15,99.53
12.54,291.00,7.00,0.00,234.07,76.92
17.45,274.00,5.00,0.00,221.55,65.21
22.47,266.00,4.00,23.41,205.25,57.46
27.48,255.00,2.00,35.47,190.15,51.96
32.50,250.00,2.00,42.22,174.20,47.78
37.51,242.00,2.00,45.59,160.68,44.48
42.42,237.00,2.00,49.68,149.48,41.82
47.44,235.00,2.00,50.91,139.94,39.55
52.45,236.00,2.00,48.66,131.98,37.61
57.47,242.00,2.00,50.70,125.25,35.93
62.48,246.00,2.00,51.01,119.50,34.46
67.40,242.00,4.00,48.35,114.62,33.18
72.41,242.00,5.00,44.77,110.24,32.01
