r_kpc,Vobs,err,Vgas,Vdisk,Vbul
0.51,143.00,33.10,-3.74,195.66,0.00
0.69,160.00,15.00,-4.96,213.36,0.00
0.86,178.00,7.92,-6.20,228.63,0.00
1.03,188.00,8.01,-7.39,242.31,0.00
1.20,187.00,8.03,-8.46,244.99,0.00
1.38,195.00,5.60,-9.15,248.08,0.00
1.55,199.00,7.52,-9.58,251.75,0.00
1.71,203.00,6.87,-9.77,258.35,0.00
1.89,206.00,9.22,-9.95,262.92,0.00
2.06,211.00,12.00,-9.95,270.25,0.00
2.23,219.00,13.30,-9.95,275.10,0.00
2.41,216.00,9.90,-10.14,276.83,0.00
2.58,214.00,10.50,-10.60,274.55,0.00
2.75,213.00,8.39,-11.16,274.06,0.00
2.92,210.00,13.30,-11.53,273.74,0.00
3.09,214.00,6.67,-11.25,275.23,0.00
3.26,213.00,9.98,-9.77,276.33,0.00
3.43,212.00,11.20,-7.06,278.46,0.00
3.61,215.00,9.11,2.40,278.97,0.00
3.78,217.00,10.10,7.87,280.87,0.00
3.95,219.00,8.05,10.51,281.76,0.00
4.12,220.00,8.29,12.28,282.78,0.00
4.29,218.00,8.42,13.95,281.57,0.00
4.46,220.00,9.71,15.63,279.92,0.00
4.64,220.00,20.10,17.49,276.26,0.00
4.81,216.00,23.50,19.07,272.38,0.00
4.98,220.00,14.60,20.00,268.13,0.00
5.15,218.00,12.20,20.46,264.51,0.00
5.32,213.00,23.10,20.65,260.81,0.00
5.49,215.00,21.20,20.74,257.41,0.00
5.67,216.00,18.30,21.02,254.02,0.00
5.84,208.00,31.70,21.30,251.09,0.00
6.01,212.00,25.30,21.67,248.27,0.00
6.19,213.00,23.80,22.04,245.66,0.00
6.35,216.00,19.60,22.51,243.33,0.00
6.64,210.00,25.00,23.63,238.82,0.00
8.82,210.00,10.70,34.97,209.65,0.00
11.07,210.00,10.70,43.44,188.05,0.00
13.32,206.00,6.25,45.95,172.02,0.00
15.49,206.00,6.25,45.39,159.31,0.00
17.74,206.00,10.70,42.23,147.38,0.00
