r_kpc,Vobs,err,Vgas,Vdisk,Vbul
0.12,134.00,41.10,-0.73,7.68,179.06
0.24,208.00,35.50,-0.84,14.95,278.38
0.35,252.00,27.10,-0.93,21.23,309.46
0.47,272.00,11.60,-1.09,27.71,321.20
0.59,276.00,12.60,-1.27,33.83,323.58
0.71,271.00,16.30,-1.49,39.63,323.15
0.83,266.00,11.90,-1.72,45.13,320.31
0.94,262.00,12.20,-1.96,49.93,316.84
1.06,260.00,12.10,-2.21,54.94,314.79
1.18,260.00,11.90,-2.45,59.69,313.21
1.30,259.00,8.04,-2.69,64.21,311.21
1.42,257.00,10.20,-2.93,68.53,309.11
1.53,254.00,9.68,-3.17,72.32,306.55
1.66,244.00,4.95,-3.41,76.57,303.54
1.89,228.00,9.83,-3.87,83.60,297.20
2.01,220.00,18.60,-4.09,87.03,293.40
2.13,215.00,4.11,-4.30,90.32,289.39
2.24,213.00,16.10,-4.50,93.19,285.56
3.10,228.00,9.59,-5.53,112.13,255.35
3.79,236.00,7.22,-5.65,121.66,232.68
3.90,236.00,7.24,-5.61,122.76,229.34
4.14,237.00,8.26,-5.45,124.89,222.83
4.25,237.00,4.07,-5.32,125.78,219.95
4.37,237.00,4.04,-5.15,126.75,216.93
4.49,237.00,1.94,-4.93,127.73,214.04
4.61,237.00,1.49,-4.62,128.73,211.23
4.72,236.00,2.38,-4.24,129.65,208.76
5.16,235.00,2.40,-1.43,133.70,199.77
5.43,234.00,4.05,3.32,136.22,194.84
5.56,233.00,3.03,4.20,137.40,192.59
5.67,233.00,2.48,4.99,138.33,190.72
5.79,233.00,3.03,5.73,139.24,188.73
5.91,232.00,6.70,6.43,139.93,186.59
6.03,232.00,7.44,7.14,140.45,184.70
6.20,232.00,1.64,8.18,141.04,182.21
6.50,233.00,14.30,9.96,142.01,177.90
6.85,235.00,7.57,11.78,143.12,173.33
6.98,236.00,3.05,12.31,143.59,171.70
7.09,236.00,2.91,12.85,144.05,170.36
7.21,237.00,4.07,13.38,144.62,168.93
7.22,238.00,2.02,13.48,144.67,168.82
7.33,238.00,6.76,13.91,145.21,167.55
7.45,239.00,3.49,14.44,145.73,166.20
7.56,240.00,10.10,14.86,146.08,164.99
8.26,247.00,0.85,17.52,144.87,157.97
8.98,252.00,8.91,19.64,141.68,151.50
9.09,253.00,7.13,19.85,141.18,150.58
9.30,254.00,0.73,20.28,140.17,148.87
10.32,253.00,0.96,21.76,134.57,141.32
11.38,247.00,1.99,22.29,131.10,134.58
12.40,238.00,3.15,22.29,127.84,128.93
13.41,229.00,1.67,21.87,125.70,123.98
14.43,223.00,3.52,21.55,123.24,119.52
15.44,220.00,1.13,21.55,120.61,115.54
16.57,220.00,1.12,22.08,117.78,111.53
17.58,224.00,1.93,22.61,115.53,108.28
18.60,228.00,2.04,23.25,113.08,105.27
19.61,234.00,2.55,24.20,110.31,102.52
20.62,239.00,2.91,26.01,107.85,99.98
21.64,243.00,3.08,28.66,105.68,97.60
22.77,245.00,3.60,31.74,103.62,95.14
23.78,247.00,2.67,34.40,101.87,93.10
24.79,249.00,3.37,36.31,99.95,91.18
25.81,250.00,2.08,37.37,97.79,89.36
26.82,251.00,1.68,37.79,95.84,87.67
27.84,251.00,2.78,37.79,94.22,86.04
29.41,248.00,3.40,37.26,91.66,83.72
30.99,246.00,2.91,36.63,88.64,81.55
32.57,249.00,3.46,35.88,86.00,79.55
34.03,252.00,3.23,35.14,84.24,77.83
37.19,255.00,4.16,33.12,79.85,74.45
