r_kpc,Vobs,err,Vgas,Vdisk,Vbul
0.08,1.41,4.00,-5.85,1.50,0.00
0.23,4.46,4.00,-5.85,3.55,0.00
0.38,7.71,4.00,-0.98,5.31,0.00
0.54,11.00,4.00,-2.22,8.22,0.00
0.69,14.20,4.00,-3.47,10.22,0.00
0.84,17.20,5.78,-4.43,12.07,0.00
1.00,20.20,4.74,-5.15,13.91,0.00
1.15,23.20,4.00,-5.85,15.41,0.00
1.30,26.40,7.13,-1.76,16.74,0.00
1.46,29.30,4.38,2.33,17.86,0.00
1.61,31.60,4.94,5.46,18.77,0.00
1.76,34.60,4.00,7.63,19.16,0.00
1.92,37.40,7.09,9.79,19.52,0.00
2.07,39.90,4.00,11.26,19.66,0.00
2.22,42.20,4.37,12.73,19.81,0.00
2.38,44.40,4.58,13.90,19.88,0.00
2.53,46.70,5.91,14.68,20.02,0.00
2.68,48.50,7.72,15.47,19.97,0.00
2.76,49.30,9.73,15.76,19.92,0.00
3.07,53.00,4.00,16.84,19.61,0.00
3.46,54.10,4.00,18.30,19.28,0.00
3.83,55.00,4.00,18.50,18.95,0.00
4.23,55.70,4.00,18.21,18.54,0.00
4.62,56.40,4.00,19.58,18.33,0.00
4.99,56.90,4.00,20.46,18.23,0.00
