r_kpc,Vobs,err,Vgas,Vdisk,Vbul
0.21,55.50,7.21,5.41,32.30,0.00
0.63,63.20,5.22,13.09,52.43,0.00
1.04,66.60,7.97,16.91,57.12,0.00
1.46,70.50,4.62,16.91,56.92,0.00
1.88,76.10,4.69,16.70,53.72,0.00
2.30,78.80,4.52,15.77,48.94,0.00
2.71,80.10,6.65,14.85,45.52,0.00
3.14,80.10,6.28,13.92,42.09,0.00
3.55,80.10,5.09,13.09,39.26,0.00
3.96,80.40,5.40,12.99,36.87,0.00
4.38,80.10,7.58,12.99,34.80,0.00
4.80,80.40,8.90,13.09,33.03,0.00
5.22,80.60,9.37,13.09,31.53,0.00
5.63,80.60,9.37,13.92,30.23,0.00
