r_kpc,Vobs,err,Vgas,Vdisk,Vbul
0.51,8.54,1.53,3.47,6.36,0.00
1.02,15.10,1.41,5.33,8.66,0.00
1.53,19.80,1.80,6.34,9.09,0.00
2.04,21.90,1.82,6.86,8.75,0.00
2.56,24.00,1.89,7.05,8.17,0.00
3.07,25.00,2.05,7.04,7.65,0.00
