r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
0.95,46.8,5.66,3.86,27.74,0.0,28.0072704846438,22.746199000013778,36.080420853258175,18.792729515356196,10.719579146741822,3.3202702323950875,1.893918577162866
1.9,63.0,5.66,4.52,51.06,0.0,51.25967225802366,37.619164051184384,63.58266669391843,11.740327741976337,-0.5826666939184335,2.0742628519392823,-0.10294464556862783
2.86,66.8,5.66,4.73,51.26,0.0,51.47776704558969,47.42606326919273,69.99422817071041,15.32223295441031,-3.194228170710417,2.70710829583221,-0.5643512669099677
3.81,69.6,5.66,12.72,49.4,0.0,51.01135559853316,53.75648698337677,74.10747798160423,18.588644401466837,-4.507477981604239,3.284212791778593,-0.796374201696862
4.76,73.4,5.66,18.24,44.13,0.0,47.750963341067795,57.89573550837664,75.04712312977696,25.64903665893221,-1.6471231297769577,4.53163191853926,-0.29101115367084057
5.72,74.7,5.66,23.64,39.21,0.0,45.78508163146594,60.62506304887056,75.97152078035249,28.91491836853406,-1.271520780352489,5.108642821295771,-0.22465031454990972
6.67,76.1,5.66,29.52,35.32,0.0,46.03186722261003,62.386863532594425,77.53098439614035,30.068132777389962,-1.43098439614036,5.312390950068898,-0.25282409825801416
