r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
1.26,21.7,10.0,5.7,11.4,0.0,12.745587471748802,18.931545423766337,22.822213129583382,8.954412528251197,-1.1222131295833826,0.8954412528251197,-0.11222131295833826
2.51,40.3,10.0,10.7,17.23,0.0,20.2820832263355,34.26253243141091,39.81562543290617,20.017916773664496,0.4843745670938304,2.0017916773664495,0.04843745670938304
3.78,57.7,7.0,14.75,19.15,0.0,24.17198791990431,46.968066944870294,52.82314182759122,33.52801208009569,4.876858172408781,4.789716011442242,0.6966940246298259
5.03,68.5,7.0,18.18,18.51,0.0,25.94479716629136,57.16760910757473,62.77951920074302,42.55520283370864,5.720480799256983,6.079314690529806,0.8172115427509975
6.29,73.5,7.0,21.5,20.41,0.0,29.644866334662396,65.56046045092654,71.95131739264752,43.855133665337604,1.5486826073524753,6.265019095048229,0.22124037247892506
7.54,78.5,5.0,24.72,20.52,0.0,32.127072695781045,72.35708967594945,79.16878947144127,46.372927304218955,-0.6687894714412721,9.274585460843792,-0.1337578942882544
8.8,83.1,6.0,27.11,18.68,0.0,32.922553060174415,77.9498013694293,84.61717339602806,50.17744693982558,-1.5171733960280704,8.362907823304264,-0.25286223267134506
