r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
1.74,59.2,3.5,0.0,56.25,0.0,56.25,26.685112457950762,62.25879638166384,2.950000000000003,-3.0587963816638393,0.8428571428571436,-0.8739418233325255
2.61,71.2,4.0,0.0,59.09,0.0,59.09,37.46241451390447,69.964709684323,12.11,1.2352903156770054,3.0275,0.30882257891925136
3.5,84.5,4.4,6.4,61.72,0.0,62.05093391722642,47.02535882282562,77.85693785665799,22.449066082773577,6.643062143342007,5.10206047335763,1.5097868507595469
4.37,93.5,4.5,14.66,63.73,0.0,65.39440725322005,55.133072141237506,85.53411099515151,28.105592746779948,7.965889004848492,6.245687277062211,1.7701975566329982
5.24,97.5,3.5,17.89,64.38,0.0,66.8194320538569,62.17667543001729,91.27308183429392,30.6805679461431,6.226918165706081,8.765876556040885,1.7791194759160232
6.11,100.0,3.5,20.91,64.3,0.0,67.61448143704128,68.29582954182396,96.1043101676812,32.38551856295872,3.8956898323187943,9.253005303702492,1.1130542378053698
6.98,101.0,4.0,24.79,64.23,0.0,68.84792662092302,73.61186531341366,100.79059338509796,32.15207337907698,0.20940661490203638,8.038018344769245,0.052351653725509095
7.85,103.0,3.5,27.59,62.94,0.0,68.72155193241782,78.23018931840882,104.12787436990196,34.278448067582175,-1.12787436990196,9.793842305023478,-0.3222498199719886
8.72,105.0,4.0,29.1,61.95,0.0,68.44422912123417,82.24237387312944,106.99729230353263,36.55577087876583,-1.9972923035326318,9.138942719691457,-0.49932307588315794
9.6,110.0,4.9,32.76,60.68,0.0,68.9585382675706,85.76525455851935,110.04980186028334,41.0414617324294,-0.04980186028333833,8.375808516822325,-0.010163644955783332
10.47,111.0,6.0,36.86,60.19,0.0,70.57971167410646,88.78848721261896,113.42350356740617,40.42028832589354,-2.423503567406172,6.736714720982256,-0.403917261234362
