r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
0.87,47.1,8.2,2.5,39.16,0.0,39.23971967280092,24.81841818836657,46.429618578797786,7.860280327199078,0.6703814212022152,0.9585707716096438,0.08175383185392869
1.74,65.9,6.6,5.78,48.78,0.0,49.12124591253768,41.63743531994555,64.39388806418393,16.778754087462325,1.5061119358160795,2.542235467797322,0.22819877815395145
2.61,76.1,5.6,11.64,56.83,0.0,58.009813824903794,53.03539529972156,78.59956523160753,18.0901861750962,-2.4995652316075336,3.230390388410036,-0.44635093421563105
3.5,85.7,5.6,13.9,59.49,0.0,61.092308026461076,60.904208543471086,86.26466668518819,24.607691973538927,-0.5646666851881861,4.394230709560523,-0.10083333664074752
4.37,96.6,5.2,17.89,65.42,0.0,67.8220355046942,66.09215767906684,94.69953435299793,28.777964495305795,1.9004656470020649,5.53422394140496,0.36547416288501244
5.24,99.3,5.2,23.49,68.37,0.0,72.29271747555214,69.60794199404972,100.35687614033725,27.00728252444786,-1.056876140337252,5.193708177778435,-0.2032454116033177
6.11,103.0,5.2,25.97,71.96,0.0,76.5028267451602,71.9905288364437,105.04912537546818,26.497173254839794,-2.0491253754681793,5.095610241315344,-0.39406257220541907
6.98,107.0,5.2,27.48,75.74,0.0,80.57107421401305,73.60516715124506,109.1302828336971,26.428925785986948,-2.1302828336970947,5.0824857280744125,-0.40966977571097973
7.85,111.0,5.2,31.47,78.27,0.0,84.3596692738894,74.6993798956607,112.67897388952491,26.640330726110605,-1.6789738895249116,5.123140524252039,-0.32287959413940603
8.72,114.0,6.1,35.45,80.37,0.0,87.84098929315404,75.4409091403627,115.79019894587134,26.15901070684596,-1.7901989458713388,4.288362410958355,-0.29347523702808836
9.6,115.0,6.1,36.42,78.73,0.0,86.74577396046449,75.94814538609594,115.29505664852924,28.25422603953551,-0.29505664852923985,4.631840334350084,-0.0483699423818426
10.47,111.0,5.6,37.82,74.74,0.0,83.76407344440693,76.28717613520287,113.29674859713965,27.235926555593068,-2.296748597139654,4.863558313498762,-0.41013367806065254
11.35,110.0,5.6,41.81,70.87,0.0,82.28385625382418,76.5190869945436,112.3646015187992,27.716143746175817,-2.364601518799205,4.949311383245682,-0.42225027121414377
12.31,111.0,5.2,40.2,67.15,0.0,78.263417380025,76.6869504952322,109.57212636550499,32.736582619974996,1.4278736344950147,6.295496657687499,0.27459108355673356
13.12,109.0,4.8,38.58,64.51,0.0,75.16619253361182,76.78208211274264,107.44973072822451,33.83380746638818,1.5502692717754911,7.048709888830871,0.32297276495322735
14.05,108.0,4.4,38.15,61.97,0.0,72.77158373980876,76.85623073557908,105.84225811499189,35.22841626019124,2.1577418850081074,8.006458240952554,0.490395882956388
14.98,109.0,5.2,39.01,59.84,0.0,71.43252550484269,76.90514958798349,104.9619346865811,37.56747449515731,4.0380653134188975,7.224514325991791,0.7765510218113264
16.03,111.0,5.3,38.26,57.82,0.0,69.33238781406565,76.9406930342741,103.57050856587698,41.667612185934345,7.4294914341230225,7.861813619987613,1.4017908366269853
16.95,110.0,4.9,36.53,56.23,0.0,67.05411098508428,76.9606974164024,102.07449606448736,42.94588901491572,7.925503935512637,8.764467145901166,1.617449782757681
17.88,109.0,4.9,37.39,54.53,0.0,66.11756952580758,76.97407049230891,101.4718706250897,42.88243047419242,7.528129374910307,8.751516423304574,1.5363529336551647
18.93,110.0,5.3,36.86,52.76,0.0,64.36052516877095,76.98378709811341,100.34331405712915,45.63947483122905,9.656685942870851,8.611221666269632,1.8220162156360098
19.97,112.0,10.2,35.67,51.32,0.0,62.498730387104665,76.98981714729082,99.1641227681326,49.501269612895335,12.8358772318674,4.8530656483230725,1.2584193364575884
21.02,113.0,11.5,35.35,49.87,0.0,61.12805738774953,76.9936329839399,98.30899714708536,51.87194261225047,14.691002852914636,4.510603705413084,1.2774785089490988
