r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
0.49,13.8,1.6,3.74,12.31,0.0,12.865601423952167,10.083337765000179,16.34617387901765,0.9343985760478333,-2.5461738790176476,0.5839991100298958,-1.5913586743860297
0.99,21.6,0.8,7.46,14.55,0.0,16.350966332299752,18.329919221373647,24.562981062201775,5.24903366770025,-2.9629810622017736,6.561292084625312,-3.703726327752217
1.48,28.9,0.7,10.87,12.95,0.0,16.907377088123397,24.806177230045183,30.020090419057905,11.992622911876602,-1.120090419057906,17.132318445538004,-1.600129170082723
1.97,34.3,0.5,13.32,11.54,0.0,17.623677255328978,30.00799540743799,34.80048546174061,16.67632274467102,-0.5004854617406096,33.35264548934204,-1.0009709234812192
2.47,38.2,0.4,14.77,10.18,0.0,17.938375065763342,34.26226302406118,38.674125297541636,20.26162493423666,-0.474125297541633,50.65406233559165,-1.1853132438540825
2.96,42.0,0.2,16.2,9.16,0.0,18.61036270468687,37.603251634789586,41.956526709313124,23.38963729531313,0.043473290686876,116.94818647656564,0.21736645343438
3.46,44.6,0.2,17.6,8.37,0.0,19.48889170784219,40.3356538775094,44.79711903377537,25.111108292157812,-0.19711903377536544,125.55554146078906,-0.9855951688768272
3.95,46.3,0.2,17.91,7.77,0.0,19.522832786253126,42.48148145478385,46.752724696996474,26.77716721374687,-0.45272469699647644,133.88583606873433,-2.263623484982382
4.44,47.4,0.3,17.48,7.29,0.0,18.93923176900267,44.20503923800853,48.091371305400244,28.460768230997328,-0.6913713054002457,94.86922743665777,-2.304571018000819
4.94,48.2,0.6,16.93,6.89,0.0,18.278320491773854,45.61463792302576,49.1405351298573,29.92167950822615,-0.9405351298572953,49.869465847043585,-1.567558549762159
5.43,47.4,0.7,16.28,6.55,0.0,17.548244926487662,46.72163296347373,49.90843502629145,29.851755073512336,-2.508435026291451,42.64536439073191,-3.5834786089877877
5.92,45.5,1.3,15.64,6.26,0.0,16.8462814888034,47.61078637829686,50.50330860012854,28.6537185111966,-5.003308600128541,22.04132193168969,-3.848698923175801
