r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
2.17,12.6,10.0,-8.64,21.61,0.0,23.27319703006014,0.0,23.27319703006014,-10.67319703006014,-10.67319703006014,-1.067319703006014,-1.067319703006014
4.32,23.0,10.0,-7.74,27.24,0.0,28.318283846306787,0.0,28.318283846306787,-5.318283846306787,-5.318283846306787,-0.5318283846306787,-0.5318283846306787
6.49,30.0,8.0,15.6,34.0,0.0,37.4080205303622,0.0,37.4080205303622,-7.408020530362201,-7.408020530362201,-0.9260025662952751,-0.9260025662952751
8.65,36.0,8.0,23.65,34.44,0.0,41.77841667655681,0.0,41.77841667655681,-5.778416676556809,-5.778416676556809,-0.7223020845696011,-0.7223020845696011
10.83,40.0,8.0,28.17,36.32,0.0,45.96402179966414,0.0,45.96402179966414,-5.964021799664138,-5.964021799664138,-0.7455027249580173,-0.7455027249580173
