r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
0.28,107.0,30.2,-1.6,13.69,91.46,92.49274403973534,2.97862983842994,92.54069340411483,14.507255960264658,14.459306595885167,0.4803727139160483,0.47878498661871416
0.55,121.0,15.6,-2.32,26.0,143.82,146.16967811416976,5.805055464079609,146.28490513016385,-25.169678114169756,-25.28490513016385,-1.6134409047544715,-1.6208272519335802
0.83,134.0,8.69,-3.04,37.95,161.88,166.29665811434697,8.689404433267075,166.52352461260506,-32.29665811434697,-32.52352461260506,-3.7165314285784774,-3.742638045178948
1.39,157.0,12.5,-4.39,60.02,171.18,181.4504475056482,14.318327621202867,182.0145032844034,-24.450447505648214,-25.01450328440339,-1.956035800451857,-2.001160262752271
1.65,168.0,11.7,-4.98,69.62,173.79,187.28243083642417,16.869750023101435,188.04068008237456,-19.28243083642417,-20.040680082374564,-1.6480710116601855,-1.7128786395191937
3.04,207.0,8.04,-7.06,115.86,156.1,194.52658738588923,29.871029619666523,196.80668588881576,12.47341261411077,10.193314111184236,1.5514194793670115,1.2678251382069947
3.32,213.0,6.53,-7.33,124.12,149.78,194.6626612887022,32.36451910842498,197.33477594463577,18.337338711297804,15.665224055364234,2.8081682559414705,2.3989623361966665
3.59,218.0,11.2,-7.54,132.68,144.22,196.11283078880894,34.73059444191779,199.16439589015144,21.887169211191065,18.83560410984856,1.954211536713488,1.6817503669507645
3.87,222.0,6.05,-7.69,142.15,138.97,198.9432569855033,37.145158931868224,202.38127959886447,23.056743014496703,19.618720401135533,3.8110319032225957,3.2427637026670304
4.15,226.0,5.41,-7.79,153.48,134.27,204.07162321106773,39.52050807919834,207.863171242137,21.92837678893227,18.136828757862986,4.053304397214837,3.3524637260375205
4.43,229.0,5.96,-7.83,164.2,129.95,209.5470147723417,41.857278786796066,213.68664719030892,19.452985227658303,15.313352809691082,3.2639236959158224,2.569354498270316
4.7,232.0,7.41,-7.81,172.5,126.18,213.8659358102641,44.07464347038603,218.36028186701364,18.13406418973591,13.63971813298636,2.4472421308685437,1.8407176967592929
4.97,234.0,6.1,-7.72,178.86,122.67,217.02171988075295,46.25727160166257,221.89673741637117,16.978280119247046,12.103262583628833,2.7833246097126305,1.9841414071522678
5.25,235.0,3.89,-7.58,184.4,119.35,219.7845283453774,48.484629414808396,225.06887432404176,15.215471654622604,9.931125675958242,3.9114323019595383,2.552988605644792
5.52,236.0,9.03,-7.35,190.48,116.43,223.36651002332465,50.59817206429909,229.02570339647122,12.63348997667535,6.974296603528785,1.39905758324201,0.7723473536576728
5.8,237.0,10.0,-7.05,196.76,113.55,227.2835290996688,52.75502859258326,233.32572863232267,9.716470900331188,3.674271367677335,0.9716470900331189,0.3674271367677335
6.08,237.0,7.36,-6.7,202.21,110.91,230.72668289558536,54.87685525602343,237.16296389358635,6.2733171044146445,-0.1629638935863511,0.8523528674476418,-0.022141833367710747
6.36,237.0,10.2,-6.27,207.12,108.43,233.86977615758732,56.96422098046868,240.70728005590456,3.1302238424126756,-3.7072800559045618,0.3068846904326153,-0.36345882901025117
6.63,236.0,10.4,-5.76,210.37,106.22,235.73587529266732,58.94492495971326,242.99363588066709,0.2641247073326838,-6.993635880667085,0.025396606474296517,-0.6724649885256813
6.91,236.0,5.83,-5.16,212.88,104.02,236.99088674461726,60.96622048893362,244.70709111242624,-0.9908867446172565,-8.707091112426241,-0.16996342103211945,-1.4934976179118766
7.19,235.0,5.43,-4.56,214.54,101.99,237.59243527519976,62.95468782199465,245.7914929747667,-2.5924352751997617,-10.791492974766697,-0.47742822747693586,-1.9873836049294102
