r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
0.35,20.9,9.81,-0.82,48.76,0.0,48.76689450846752,1.7786750015878516,48.79932053585658,-27.866894508467524,-27.89932053585658,-2.840662029405456,-2.8439674348477655
1.07,61.7,8.19,-2.5,98.26,0.0,98.2917982336268,5.3965262366922255,98.43982982219804,-36.591798233626804,-36.73982982219803,-4.467863032188865,-4.4859377072280875
1.6,81.3,4.32,-3.73,114.22,0.0,114.28088772843864,8.024687589592746,114.56228398085716,-32.980887728438645,-33.26228398085716,-7.63446475195339,-7.699602773346565
3.7,124.0,3.41,-7.4,144.04,0.0,144.2299608264524,18.15333908165093,145.36789645521253,-20.229960826452412,-21.36789645521253,-5.932539831804227,-6.266245294783733
5.09,156.0,7.02,-9.39,154.24,0.0,154.52556325734588,24.614352378804142,156.47369121685583,1.4744367426541203,-0.47369121685582627,0.21003372402480347,-0.06747738131849378
6.61,166.0,6.34,-10.89,166.19,0.0,166.54641455161982,31.46559674915038,169.49274904484895,-0.5464145516198187,-3.4927490448489493,-0.08618526050785784,-0.5509067894083517
8.17,165.0,12.1,-5.79,171.87,0.0,171.96749983645165,38.27184494635572,176.1747856976074,-6.967499836451651,-11.174785697607405,-0.5758264327645993,-0.9235360080667276
9.11,174.0,4.84,9.64,169.05,0.0,169.32463524248325,42.26593848325188,174.52003224807757,4.675364757516746,-0.5200322480775696,0.9659844540323856,-0.10744467935486976
10.37,164.0,5.86,17.85,166.21,0.0,167.16574589311054,47.49668878593291,173.78239854953023,-3.1657458931105396,-9.782398549530228,-0.5402296745922422,-1.6693512883157384
11.28,176.0,7.35,22.68,167.76,0.0,169.28614828154133,51.188706888929545,176.85611019402396,6.71385171845867,-0.8561101940239553,0.9134492133957375,-0.11647757741822522
13.62,174.0,3.28,31.86,164.88,0.0,167.92996754599818,60.36255520314994,178.44918624262013,6.070032454001819,-4.449186242620129,1.8506196506103108,-1.356459220311015
15.04,168.0,2.23,35.59,159.31,0.0,163.23701847313924,65.7122589656406,175.9671139115699,4.762981526860756,-7.967113911569896,2.13586615554294,-3.572696821331792
16.37,166.0,2.23,38.11,153.0,0.0,157.67489368951544,70.57927456964327,172.75070506014467,8.325106310484557,-6.750705060144668,3.7332315293652725,-3.0272220000648735
17.59,167.0,4.59,40.13,146.12,0.0,151.53043027722188,74.92496504830054,169.0420707619528,15.469569722778118,-2.0420707619528002,3.370276628056235,-0.44489559083939006
18.8,167.0,5.3,41.74,140.2,0.0,146.28146704213765,79.1257003669738,166.31038469850319,20.71853295786235,0.6896153014968149,3.909157161860821,0.13011609462204055
20.13,165.0,3.48,42.85,134.43,0.0,141.09410831072998,83.62070463719968,164.0121021267083,23.90589168927002,0.9878978732917005,6.869509106112075,0.283878699221753
21.35,165.0,3.12,43.55,129.7,0.0,136.81627278946024,87.63423137473052,162.47600133139602,28.183727210539757,2.52399866860398,9.033245900814025,0.8089739322448654
22.57,165.0,2.39,44.16,125.69,0.0,133.22192649860608,91.5455340425586,161.6436404661107,31.77807350139392,3.3563595338893037,13.296265063344736,1.4043345330080768
23.89,165.0,2.23,45.07,121.68,0.0,129.75872725947954,95.66531032847965,161.21159666799505,35.24127274052046,3.788403332004947,15.80326131861904,1.6988355748901107
25.11,163.0,2.23,46.68,118.15,0.0,127.03717920357016,99.3720623284177,161.28624142003846,35.96282079642984,1.7137585799615351,16.12682546925105,0.7685016053639171
26.33,162.0,2.23,48.39,114.89,0.0,124.66476727608327,102.98440377634205,161.7006234408781,37.33523272391673,0.299376559121896,16.74225682686849,0.1342495780815677
27.65,162.0,2.23,50.01,111.67,0.0,122.35681019052434,106.78928411869407,162.40424933659577,39.64318980947566,-0.4042493365957682,17.777215161199848,-0.1812777294151427
28.87,162.0,2.23,51.42,108.99,0.0,120.51073188724729,110.212709770892,163.30853589155367,41.48926811275271,-1.3085358915536744,18.60505296535996,-0.5867873953155491
30.09,160.0,2.23,52.53,106.1,0.0,118.391768717255,113.54894116094137,164.04259489160407,41.608231282744995,-4.042594891604068,18.658399678360986,-1.8128228213471158
