r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
0.85,10.3,0.2,0.0,9.59,0.0,9.59,6.055571226786469,11.3418712249207,0.7100000000000009,-1.0418712249206994,3.5500000000000043,-5.209356124603497
1.14,12.9,2.7,0.0,11.99,0.0,11.99,8.053674795129858,14.44374527972956,0.9100000000000001,-1.5437452797295599,0.3370370370370371,-0.5717575110109481
1.42,16.4,1.8,0.94,13.83,0.0,13.861908238045727,9.950989326319288,17.063841553780332,2.5380917619542718,-0.6638415537803333,1.4100509788634843,-0.36880086321129624
1.71,18.6,2.1,3.44,15.27,0.0,15.652683476005,11.883586361890806,19.652636586995577,2.947316523995001,-1.0526365869955754,1.4034840590452384,-0.5012555176169406
1.99,19.8,2.0,5.14,16.76,0.0,17.53046491111973,13.718698663683822,22.260276121938837,2.2695350888802714,-2.4602761219388363,1.1347675444401357,-1.2301380609694181
2.28,26.1,0.6,5.82,17.77,0.0,18.698804774637335,15.587936755779545,24.343974044970203,7.401195225362667,1.7560259550297985,12.335325375604445,2.926709925049664
2.55,27.7,2.7,6.87,18.7,0.0,19.922020479860972,17.29999423449643,26.38516061185927,7.777979520139027,1.3148393881407294,2.880733155607047,0.4869775511632331
2.84,29.7,2.6,7.58,19.36,0.0,20.791007671587252,19.10900817357934,28.238629452895232,8.908992328412747,1.4613705471047673,3.42653551092798,0.5620655950402951
3.13,33.0,3.4,8.21,19.89,0.0,21.517811226981244,20.887601185342675,29.988465837350347,11.482188773018756,3.011534162649653,3.3771143450055163,0.8857453419557804
3.41,34.8,1.2,8.78,20.19,0.0,22.01645975174029,22.57647778801466,31.534454955060177,12.783540248259708,3.2655450449398202,10.65295020688309,2.72128753744985
3.7,35.0,0.9,8.64,20.15,0.0,21.924235448471173,24.296760778586506,32.72620791249514,13.075764551528827,2.2737920875048587,14.528627279476474,2.526435652783176
3.98,39.0,10.2,7.98,20.39,0.0,21.89594711356419,25.930268654495094,33.93834604830192,17.10405288643581,5.0616539516980765,1.6768679300427265,0.4962405834998115
4.26,35.9,5.4,7.97,21.28,0.0,22.723540657212734,27.537246457881928,35.70237026420138,13.176459342787265,0.1976297357986212,2.440085063479123,0.036598099221966884
4.55,40.0,4.1,10.01,22.72,0.0,24.82737400531921,29.17410765722546,38.308315776021544,15.17262599468079,1.6916842239784557,3.7006404865075098,0.41260590828742827
4.84,38.7,1.4,11.42,24.6,0.0,27.12151175727489,30.783442901958185,41.026780971678974,11.578488242725111,-2.3267809716789714,8.270348744803652,-1.6619864083421225
5.12,41.8,0.5,12.67,25.34,0.0,28.330981274922337,32.31159949692302,42.97306088760209,13.46901872507766,-1.173060887602091,26.93803745015532,-2.346121775204182
5.41,42.9,0.4,13.13,25.74,0.0,28.895406209292158,33.86817372685142,44.519632653383255,14.00459379070784,-1.6196326533832561,35.011484476769596,-4.04908163345814
5.68,44.4,1.7,13.93,26.48,0.0,29.920482950647706,35.293858642430585,46.269771534684196,14.479517049352292,-1.8697715346841974,8.51736297020723,-1.0998656086377632
5.97,46.1,1.3,14.5,27.15,0.0,30.779416823585205,36.80028229764331,47.975340302974814,15.320583176414797,-1.8753403029748128,11.785063981857535,-1.442569463826779
6.26,49.0,0.9,15.98,27.39,0.0,31.710763157010273,38.281373475566795,49.70951674655296,17.289236842989727,-0.709516746552957,19.210263158877474,-0.7883519406143967
6.54,51.9,0.6,17.58,27.31,0.0,32.47910867003588,39.68775493567327,51.28362693720148,19.42089132996412,0.616373062798516,32.36815221660687,1.0272884379975267
6.83,53.1,2.1,18.38,26.75,0.0,32.45592241795016,41.12028949755248,52.38573382479742,20.64407758204984,0.7142661752025816,9.830513134309447,0.3401267500964674
7.1,54.0,0.5,19.29,26.25,0.0,32.57555218258011,42.432365000698226,53.49459972326627,21.42444781741989,0.5054002767337309,42.84889563483978,1.0108005534674618
7.39,55.9,1.1,19.86,26.04,0.0,32.749064108765,43.818745366910456,54.70451211308018,23.150935891235,1.195487886919821,21.04630535566818,1.08680716992711
7.68,58.8,3.6,21.01,25.86,0.0,33.319059110365046,45.181811940206735,56.138719527614874,25.48094088963495,2.6612804723851227,7.078039136009709,0.7392445756625341
7.96,57.3,4.6,21.81,25.77,0.0,33.76046504419037,46.47612223396082,57.44387641782253,23.53953495580963,-0.1438764178225327,5.117290207784702,-0.0312774821353332
8.25,54.0,9.0,22.49,25.57,0.0,34.0532670972992,47.79450155151699,58.685086508907524,19.946732902700802,-4.685086508907524,2.216303655855645,-0.5205651676563916
8.52,63.8,12.0,22.38,25.47,0.0,33.90553494637712,49.00202090389494,59.58844982600031,29.89446505362288,4.21155017399969,2.49120542113524,0.3509625144999742
8.81,60.5,6.2,22.6,25.41,0.0,34.00629500548391,50.27792394296885,60.698416256233244,26.493704994516087,-0.19841625623324433,4.273178224921949,-0.032002621973103926
9.1,61.0,5.7,22.95,25.38,0.0,34.217640187482246,51.532371009382786,61.85816164297704,26.782359812517754,-0.8581616429770378,4.698659616231184,-0.15055467420649785
9.38,66.0,1.3,23.63,25.51,0.0,34.77264729640238,52.72354081930832,63.15780835752037,31.227352703597617,2.8421916424796265,24.021040541228935,2.1863012634458663
9.67,65.2,3.4,24.89,25.74,0.0,35.80586125203526,53.93686165024148,64.73982348351971,29.394138747964746,0.46017651648028846,8.645334925871984,0.13534603425890837
9.96,67.1,4.7,25.8,24.84,0.0,35.81432115788319,55.12977890991648,65.74160115677341,31.285678842116802,1.3583988432265812,6.656527413216341,0.28902103047374067
10.23,67.5,9.3,27.17,23.97,0.0,36.23216526789422,56.22238606603708,66.88592150040635,31.267834732105783,0.6140784995936457,3.3621327668930947,0.06602994619286512
