r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
0.31,3.1,4.5,1.0,4.05,0.0,4.17163037672323,3.5562886493976156,5.481759658890046,-1.0716303767232298,-2.381759658890046,-0.2381400837162733,-0.5292799241977879
1.47,15.7,8.5,4.69,16.67,0.0,17.317187993435887,15.388407677873937,23.166529538548705,-1.6171879934358877,-7.466529538548706,-0.19025741099245738,-0.8784152398292595
2.52,28.0,10.0,7.69,21.39,0.0,22.73033655712119,24.3435066109182,33.30577298481178,5.269663442878809,-5.305772984811782,0.5269663442878809,-0.5305772984811782
3.35,36.0,11.0,9.58,24.52,0.0,26.325022317179524,30.421268038200434,40.23009258070425,9.674977682820476,-4.230092580704252,0.8795434257109523,-0.3845538709731138
4.09,43.6,4.5,11.47,24.68,0.0,27.21512998315459,35.193228184333364,44.48849975032375,16.38487001684541,-0.8884997503237457,3.641082225965647,-0.19744438896083238
4.82,49.8,4.5,13.0,26.85,0.0,29.831568849123578,39.37306256263419,49.397981290343296,19.96843115087642,0.4020187096567014,4.4374291446392045,0.08933749103482252
6.6,61.5,4.5,16.38,35.05,0.0,38.68858875689316,47.71676741900643,61.43042237295421,22.81141124310684,0.0695776270457884,5.0692024984681865,0.01546169489906409
7.86,68.1,12.2,18.53,38.67,0.0,42.880412777863974,52.327889175687,67.6530692990568,25.21958722213602,0.44693070094319864,2.0671792805029527,0.03663366401173759
9.43,73.4,12.2,20.89,42.63,0.0,47.473245096580456,56.902662143295856,74.10547860309705,25.92675490341955,-0.705478603097049,2.125143844542586,-0.05782611500795484
11.43,77.6,11.0,23.34,39.29,0.0,45.69966848895077,61.2764513431338,76.44124010772879,31.900331511049224,1.1587598922712061,2.900030137368111,0.10534180838829146
22.85,78.9,11.0,36.96,26.56,0.0,45.51346174485083,70.9233713973268,84.270990325041,33.386538255149176,-5.370990325040992,3.0351398413771977,-0.4882718477309993
