r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
1.03,39.15,4.06,3.65,21.66,0.0,21.96538413049041,23.92042888563449,32.47560650815773,17.18461586950959,6.674393491842267,4.232664007268372,1.643939283704992
2.07,49.15,1.65,7.45,27.59,0.0,28.578148995342577,39.126588531878404,48.45204361162611,20.57185100465742,0.6979563883738891,12.467788487671164,0.42300387174175097
3.09,55.05,0.6,11.19,26.88,0.0,29.116155309381078,48.532236638585736,56.59618797360546,25.93384469061892,-1.5461879736054627,43.223074484364865,-2.5769799560091045
4.13,59.35,0.41,14.76,25.3,0.0,29.290742564844614,54.58455003737468,61.94691842846309,30.059257435155388,-2.5969184284630913,73.31526203696437,-6.333947386495345
5.16,63.85,0.46,18.24,24.0,0.0,30.144611458766555,58.357060592272674,65.68290585053454,33.70538854123345,-1.8329058505345373,73.2725837852901,-3.984577935944646
6.2,68.2,0.86,21.81,21.76,0.0,30.808662742806607,60.755236563079386,68.1202794315741,37.3913372571934,0.07972056842589836,43.478299136271396,0.09269833537895159
7.23,71.7,1.07,25.2,19.92,0.0,32.12236603987944,62.25006070159496,70.04938584564648,39.577633960120565,1.6506141543535193,36.988442953383704,1.5426300507976816
8.26,73.5,1.07,27.64,18.42,0.0,33.21544821314323,63.1931244126452,71.39073450408011,40.28455178685677,2.1092654959198853,37.64911381949231,1.9712761644111076
9.28,73.15,1.0,28.96,17.21,0.0,33.68776780969615,63.78353221825549,72.13324256012089,39.46223219030386,1.0167574398791146,39.46223219030386,1.0167574398791146
10.34,72.5,0.74,29.43,16.16,0.0,33.57484921782971,64.16915840847494,72.42203663838757,38.92515078217029,0.07796336161243289,52.60155511104094,0.10535589407085526
11.4,73.0,1.07,28.96,15.29,0.0,32.748522104058374,64.40920236767269,72.2565640591899,40.251477895941626,0.7434359408101017,37.61820364106694,0.694799944682338
12.37,74.7,2.09,27.83,14.6,0.0,31.427200002545565,64.54850584841236,71.79260760874008,43.27279999745444,2.9073923912599184,20.70468899399734,1.391096837923406
