r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
0.12,134.0,41.1,-0.73,7.68,179.06,179.22611109991757,2.706108252832336,179.24653949763172,-45.226111099917574,-45.246539497631716,-1.1003919975649044,-1.1008890388718178
0.24,208.0,35.5,-0.84,14.95,278.38,278.78241067183563,5.3774608251895515,278.83426902898157,-70.78241067183563,-70.83426902898157,-1.9938707231502997,-1.9953315219431427
0.35,252.0,27.1,-0.93,21.23,309.46,310.1887641420946,7.796050126972482,310.28671869350495,-58.18876414209461,-58.28671869350495,-2.1471868687119784,-2.150801427804611
0.47,272.0,11.6,-1.09,27.71,321.2,322.3949010142685,10.40203044630718,322.56266745766766,-50.3949010142685,-50.56266745766766,-4.344388018471422,-4.358850642902384
0.59,276.0,12.6,-1.27,33.83,323.58,325.34612061618316,12.974541070108465,325.60472495954343,-49.34612061618316,-49.60472495954343,-3.9163587790621555,-3.936882933297098
0.71,271.0,16.3,-1.49,39.63,323.15,325.57438397392383,15.514011863679851,325.9438050709146,-54.57438397392383,-54.94380507091461,-3.348121716191646,-3.370785587172675
0.83,266.0,11.9,-1.72,45.13,320.31,323.4782394535991,18.020867171383102,323.97981889866014,-57.47823945359909,-57.97981889866014,-4.830104155764629,-4.872253688963037
0.94,262.0,12.2,-1.96,49.93,316.84,320.7560320555172,20.29052393292896,321.39716467553467,-58.75603205551721,-59.39716467553467,-4.816068201271903,-4.868620055371695
1.06,260.0,12.1,-2.21,54.94,314.79,319.55599165091553,22.736032497726043,320.3637916084426,-59.55599165091553,-60.363791608442625,-4.921982781067399,-4.988743108135754
1.18,260.0,11.9,-2.45,59.69,313.21,318.8563982422181,25.150132372870857,319.84673182381107,-58.85639824221812,-59.84673182381107,-4.945915818673791,-5.02913712805135
1.3,259.0,8.04,-2.69,64.21,311.21,317.7763746725046,27.533226953306855,318.9669307098501,-58.77637467250457,-59.96693070985009,-7.310494362251814,-7.45857347137439
1.42,257.0,10.2,-2.93,68.53,309.11,316.6290225168881,29.885714453005548,318.0363089780263,-59.629022516888085,-61.036308978026284,-5.845982599694911,-5.983951860590812
1.53,254.0,9.68,-3.17,72.32,306.55,314.98116419875015,32.015609682193286,316.60406356097604,-60.98116419875015,-62.604063560976044,-6.299707045325429,-6.46736193811736
1.66,244.0,4.95,-3.41,76.57,303.54,313.0672844613439,34.500435559621074,314.96254484272185,-69.06728446134389,-70.96254484272185,-13.952986759867452,-14.335867644994314
1.89,228.0,9.83,-3.87,83.6,297.2,308.7584442569952,38.8123195948524,311.18832409384027,-80.75844425699518,-83.18832409384027,-8.215508062766549,-8.462698280146517
2.01,220.0,18.6,-4.09,87.03,293.4,306.06291673445185,41.01994498879982,308.799522161036,-86.06291673445185,-88.79952216103601,-4.627038534110314,-4.774167858120215
2.13,215.0,4.11,-4.3,90.32,289.39,303.18767207787323,43.19921692618454,306.2497948457036,-88.18767207787323,-91.2497948457036,-21.4568545201638,-22.20189655613226
2.24,213.0,16.1,-4.5,93.19,285.56,300.4149458665464,45.17228624244429,303.7921578059074,-87.41494586654642,-90.79215780590738,-5.429499743263753,-5.639264459994247
3.1,228.0,9.59,-5.53,112.13,255.35,278.93967143452363,59.81801969152251,285.28150269482137,-50.93967143452363,-57.28150269482137,-5.311748846144279,-5.973045119376577
3.79,236.0,7.22,-5.65,121.66,232.68,262.6272272632828,70.62612709526012,271.95792014294386,-26.627227263282805,-35.95792014294386,-3.687981615413131,-4.980321349438208
3.9,236.0,7.24,-5.61,122.76,229.34,260.18901840777215,72.27612213149945,270.04103971501706,-24.189018407772153,-34.041039715017064,-3.3410246419574796,-4.701801065610091
4.14,237.0,8.26,-5.45,124.89,222.83,255.50033953010708,75.80896019751249,266.5097032871937,-18.500339530107084,-29.5097032871937,-2.2397505484391145,-3.5726033035343465
4.25,237.0,4.07,-5.32,125.78,219.95,253.43029278284789,77.39790424176438,264.9855635332184,-16.430292782847886,-27.985563533218397,-4.036926973672699,-6.876059836171596
4.37,237.0,4.04,-5.15,126.75,216.93,251.29804993274422,79.10995882862392,263.4560598769111,-14.29804993274422,-26.456059876911127,-3.5391212704812425,-6.548529672502754
4.49,237.0,1.94,-4.93,127.73,214.04,249.3037893815495,80.80002478213372,262.07064582816867,-12.303789381549507,-25.070645828168665,-6.342159475025519,-12.923013313489003
4.61,237.0,1.49,-4.62,128.73,211.23,247.40830665117124,82.46838451151136,260.790921321925,-10.408306651171245,-23.790921321924998,-6.985440705484057,-15.96706128988255
4.72,236.0,2.38,-4.24,129.65,208.76,245.7800596061446,83.97888411188194,259.7311892643563,-9.78005960614459,-23.731189264356317,-4.109268742077559,-9.971087926200134
5.16,235.0,2.4,-1.43,133.7,199.77,240.3867463068628,89.84503735812999,256.62797691967216,-5.38674630686279,-21.627976919672165,-2.244477627859496,-9.011657049863402
5.43,234.0,4.05,3.32,136.22,194.84,237.75940864664008,93.30946263711685,255.4137666955865,-3.7594086466400825,-21.413766695586503,-0.9282490485531069,-5.287349801379384
5.56,233.0,3.03,4.2,137.4,192.59,236.6163732711665,94.94192221842435,254.95347947131324,-3.616373271166509,-21.953479471313244,-1.193522531738122,-7.245372762809652
5.67,233.0,2.48,4.99,138.33,190.72,235.65696976749913,96.30549023995054,254.57602960678997,-2.6569697674991346,-21.576029606789973,-1.071358777217393,-8.700011938221763
5.79,233.0,3.03,5.73,139.24,188.73,234.60525015438165,97.77470678926444,254.16434975764525,-1.6052501543816504,-21.164349757645255,-0.5297855294988946,-6.984933913414276
5.91,232.0,6.7,6.43,139.93,186.59,233.31861884556065,99.22505357574363,253.541296748891,-1.3186188455606498,-21.541296748891,-0.19680878291949996,-3.2151189177449253
6.03,232.0,7.44,7.14,140.45,184.7,232.1449377005667,100.65677295164686,253.02778116451833,-0.1449377005666861,-21.02778116451833,-0.019480873732081464,-2.826314672650313
6.2,232.0,1.64,8.18,141.04,182.21,230.56382652098748,102.6536213488002,252.38352576193014,1.436173479012524,-20.383525761930144,0.8757155359832464,-12.428979123128137
6.5,233.0,14.3,9.96,142.01,177.9,227.84743075136925,106.0894877032695,251.33529617055814,5.152569248630755,-18.335296170558138,0.3603195278762765,-1.282188543395674
