r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
0.09,7.0,2.49,1.74,3.78,0.0,4.161249812255928,3.2732068209841807,5.294325537113992,2.838750187744072,1.7056744628860079,1.140060316363081,0.6850098244522119
0.25,14.9,1.35,4.38,11.32,0.0,12.137825175870676,8.363462229049325,14.740227286467963,2.7621748241293247,0.15977271353203726,2.046055425280981,0.11835015817187944
0.41,21.1,1.37,6.41,15.94,0.0,17.18056169046868,12.647831011287094,21.333994686651526,3.9194383095313228,-0.23399468665152412,2.8609038755703082,-0.17079904135147744
0.58,26.0,1.24,7.97,17.47,0.0,19.20213009017489,16.459306810387282,25.29091893701099,6.79786990982511,0.7090810629890107,5.4821531530847665,0.5718395669266215
0.74,27.5,1.59,9.12,17.72,0.0,19.92919466511379,19.461945630207076,27.85570188871816,7.570805334886209,-0.35570188871815844,4.761512789236609,-0.223711879696955
0.9,28.8,2.57,9.81,17.18,0.0,19.783541139037773,21.989208211881966,29.57894145816407,9.016458860962228,-0.7789414581640699,3.5083497513471706,-0.30309006154243967
1.08,29.5,1.85,10.01,16.66,0.0,19.4359383617051,24.35738747244376,31.16148302765387,10.064061638294898,-1.661483027653869,5.440033317997242,-0.8980989338669562
