r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
3.23,194.0,16.7,-7.97,37.15,248.5,251.3879340779903,13.763795279372152,251.7644443929533,-57.38793407799031,-57.764444392953294,-3.4364032382030127,-3.4589487660451077
9.18,172.0,8.1,-15.63,83.53,176.71,196.08156950616242,37.89792821236932,199.71037745392678,-24.081569506162424,-27.71037745392678,-2.9730332723657313,-3.4210342535712077
10.64,170.0,10.7,-16.24,92.09,164.32,189.06445488245535,43.58730433564335,194.02376452189557,-19.06445488245535,-24.023764521895572,-1.7817247553696591,-2.245211637560334
11.58,170.0,6.8,-16.14,99.29,157.52,186.89985045472886,47.20325976349191,192.76851877912978,-16.899850454728863,-22.768518779129778,-2.4852721256954213,-3.348311585166144
12.52,171.0,6.8,-16.04,107.74,151.54,186.62679550375395,50.7827853469407,193.41264717591105,-15.626795503753954,-22.412647175911047,-2.298058162316758,-3.295977525869272
13.57,172.0,12.1,-16.04,120.8,145.51,189.79747548373766,54.738568457126284,197.53326954398213,-17.797475483737657,-25.53326954398213,-1.4708657424576577,-2.1101875656183577
15.76,174.0,19.6,-15.53,131.65,135.02,189.21760964561412,62.84661447189334,199.38154566202658,-15.217609645614118,-25.381545662026582,-0.7764086553884754,-1.294976819491152
24.94,193.0,23.2,18.69,111.71,107.35,156.05275614355548,94.82713527147688,182.60517047388052,36.947243856444516,10.39482952611948,1.5925536145019188,0.4480529968154948
26.3,194.0,23.0,21.04,108.26,104.53,151.9520651389773,99.30173388935569,181.5220770414233,42.047934861022696,12.477922958576698,1.8281710809140304,0.5425183895033348
34.96,201.0,7.2,34.22,92.64,90.67,134.0679935704268,126.30699548682037,184.19469050140307,66.93200642957319,16.805309498596927,9.296112004107387,2.3340707636940174
36.84,202.0,17.1,37.39,88.8,88.32,130.70529637317685,131.84411229387308,185.65221368612714,71.29470362682315,16.34778631387286,4.169280913849307,0.9560108955481204
47.38,205.0,16.0,54.35,75.25,77.88,121.1683927433223,160.89370557858265,201.41639430495135,83.8316072566777,3.5836056950486466,5.239475453542356,0.2239753559405404
64.59,204.0,16.0,61.29,63.17,66.7,110.43460961129894,201.778090811598,230.0221748692362,93.56539038870106,-26.02217486923621,5.847836899293816,-1.6263859293272631
