r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
1.87,27.7,3.0,8.68,18.19,0.0,20.154862936770375,19.955913088943714,28.362950608381265,7.545137063229625,-0.6629506083812657,2.5150456877432084,-0.22098353612708857
3.36,42.4,1.5,15.07,19.75,0.0,24.84285410334328,30.692010453482528,39.48628756513685,17.557145896656717,2.9137124348631502,11.704763931104479,1.9424749565754336
4.86,52.5,1.0,20.59,19.94,0.0,28.66272317837229,38.332096298864776,47.86336079576363,23.83727682162771,4.636639204236367,23.83727682162771,4.636639204236367
6.35,55.6,1.0,24.61,19.17,0.0,31.195207965326983,43.696011296878375,53.68875490507228,24.40479203467302,1.9112450949277218,24.40479203467302,1.9112450949277218
7.85,58.6,1.1,26.94,18.71,0.0,32.79981249946408,47.513112582445714,57.73494234232993,25.80018750053592,0.8650576576700715,23.454715909578105,0.7864160524273377
9.34,59.0,1.2,27.6,17.41,0.0,32.63231680405178,50.19300483090347,59.86823727115322,26.367683195948217,-0.8682372711532196,21.97306932995685,-0.7235310592943497
10.83,60.0,1.3,26.77,16.05,0.0,31.212744192076414,52.08944440494625,60.72516462238687,28.787255807923586,-0.7251646223868704,22.144042929171988,-0.5578189402975926
12.33,62.2,1.0,24.9,15.01,0.0,29.074217100379503,53.43900008186511,60.8361473940418,33.1257828996205,1.3638526059582006,33.1257828996205,1.3638526059582006
