r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
0.22,12.4,7.0,0.92,38.29,0.0,38.3010508994205,3.0505412634884403,38.42234118322627,-25.901050899420504,-26.022341183226274,-3.7001501284886436,-3.7174773118894677
0.78,37.5,4.0,2.67,85.69,0.0,85.73158694436958,10.665814754535695,86.39250317231277,-48.23158694436958,-48.89250317231277,-12.057896736092395,-12.223125793078193
1.33,56.5,4.0,3.9,104.0,0.0,104.07309931005226,17.940395913462176,105.6080858908624,-47.57309931005226,-49.1080858908624,-11.893274827513064,-12.2770214727156
2.33,69.1,4.0,5.34,114.45,0.0,114.57450894505287,30.665107458053445,118.60719588378255,-45.474508945052875,-49.50719588378256,-11.368627236263219,-12.37679897094564
3.44,85.5,7.5,7.09,107.32,0.0,107.55394228014146,44.06410756196379,116.23035780394171,-22.053942280141456,-30.730357803941715,-2.940525637352194,-4.097381040525562
3.78,87.1,8.4,7.29,103.7,0.0,103.95592383313227,48.0217326081735,114.51166273655672,-16.85592383313228,-27.41166273655672,-2.006657599182414,-3.263293182923419
4.77,105.0,4.0,8.42,92.03,0.0,92.41437821031963,59.169547279496186,109.73355286903151,12.585621789680374,-4.733552869031513,3.1464054474200935,-1.1833882172578782
5.44,112.0,6.7,8.94,86.43,0.0,86.89113015722607,66.40693929509878,109.36155671232436,25.108869842773927,2.638443287675642,3.747592513846855,0.3937975056232301
6.11,116.0,4.0,9.45,81.42,0.0,81.96657184486857,73.4058947882942,110.03156042549845,34.03342815513143,5.968439574501545,8.508357038782858,1.4921098936253863
7.22,124.0,4.0,10.47,76.23,0.0,76.94565484808093,84.4974062775125,114.2823060129039,47.054345151919065,9.717693987096098,11.763586287979766,2.4294234967740245
9.33,135.0,4.0,11.28,68.45,0.0,69.3732001568329,103.9570621775715,124.97884491621558,65.6267998431671,10.021155083784421,16.406699960791777,2.5052887709461054
11.1,140.0,4.0,11.8,64.24,0.0,65.31475790355499,118.76994996537375,135.54452631802357,74.68524209644501,4.455473681976429,18.671310524111252,1.1138684204941072
15.55,144.0,5.0,11.28,55.43,0.0,56.566096736472815,150.70351766595422,160.96979075867802,87.43390326352718,-16.969790758678016,17.486780652705438,-3.3939581517356032
