test,curve,x,y
"Microphysics Kernel","Kt_over_sig2",-0.4375,0.2865047968601901
"Microphysics Kernel","Kt_over_sig2",-0.41999999999999993,0.3011942119122021
"Microphysics Kernel","Kt_over_sig2",-0.40249999999999986,0.31663676937905333
"Microphysics Kernel","Kt_over_sig2",-0.385,0.3328710836980795
"Microphysics Kernel","Kt_over_sig2",-0.36749999999999994,0.3499377491111554
"Microphysics Kernel","Kt_over_sig2",-0.34999999999999987,0.36787944117144245
"Microphysics Kernel","Kt_over_sig2",-0.3325,0.3867410234545012
"Microphysics Kernel","Kt_over_sig2",-0.31500000000000017,0.4065696597405989
"Microphysics Kernel","Kt_over_sig2",-0.2975000000000001,0.42741493194872654
"Microphysics Kernel","Kt_over_sig2",-0.28,0.4493289641172215
"Microphysics Kernel","Kt_over_sig2",-0.26249999999999996,0.47236655274101474
"Microphysics Kernel","Kt_over_sig2",-0.2450000000000001,0.4965853037914093
"Microphysics Kernel","Kt_over_sig2",-0.22750000000000004,0.5220457767610159
"Microphysics Kernel","Kt_over_sig2",-0.20999999999999996,0.5488116360940265
"Microphysics Kernel","Kt_over_sig2",-0.1924999999999999,0.5769498103804869
"Microphysics Kernel","Kt_over_sig2",-0.17500000000000004,0.6065306597126333
"Microphysics Kernel","Kt_over_sig2",-0.15749999999999997,0.6376281516217733
"Microphysics Kernel","Kt_over_sig2",-0.1399999999999999,0.6703200460356394
"Microphysics Kernel","Kt_over_sig2",-0.12249999999999983,0.7046880897187138
"Microphysics Kernel","Kt_over_sig2",-0.10499999999999998,0.7408182206817179
"Microphysics Kernel","Kt_over_sig2",-0.08750000000000013,0.7788007830714045
"Microphysics Kernel","Kt_over_sig2",-0.07000000000000006,0.8187307530779817
"Microphysics Kernel","Kt_over_sig2",-0.05249999999999999,0.8607079764250578
"Microphysics Kernel","Kt_over_sig2",-0.03500000000000014,0.9048374180359592
"Microphysics Kernel","Kt_over_sig2",-0.01750000000000007,0.9512294245007138
"Microphysics Kernel","Kt_over_sig2",0,1
"Microphysics Kernel","Kt_over_sig2",0.01750000000000007,0.9512294245007138
"Microphysics Kernel","Kt_over_sig2",0.03500000000000014,0.9048374180359592
"Microphysics Kernel","Kt_over_sig2",0.05249999999999999,0.8607079764250578
"Microphysics Kernel","Kt_over_sig2",0.07000000000000006,0.8187307530779817
"Microphysics Kernel","Kt_over_sig2",0.08750000000000013,0.7788007830714045
"Microphysics Kernel","Kt_over_sig2",0.10499999999999998,0.7408182206817179
"Microphysics Kernel","Kt_over_sig2",0.12250000000000005,0.7046880897187133
"Microphysics Kernel","Kt_over_sig2",0.14000000000000012,0.6703200460356391
"Microphysics Kernel","Kt_over_sig2",0.1575000000000002,0.637628151621773
"Microphysics Kernel","Kt_over_sig2",0.17500000000000027,0.606530659712633
"Microphysics Kernel","Kt_over_sig2",0.19250000000000012,0.5769498103804864
"Microphysics Kernel","Kt_over_sig2",0.2100000000000002,0.5488116360940262
"Microphysics Kernel","Kt_over_sig2",0.2274999999999998,0.5220457767610164
"Microphysics Kernel","Kt_over_sig2",0.24499999999999988,0.49658530379140964
"Microphysics Kernel","Kt_over_sig2",0.26249999999999973,0.472366552741015
"Microphysics Kernel","Kt_over_sig2",0.2799999999999998,0.44932896411722184
"Microphysics Kernel","Kt_over_sig2",0.2974999999999999,0.4274149319487268
"Microphysics Kernel","Kt_over_sig2",0.31499999999999995,0.40656965974059917
