r_kpc,vQ_km/s
0.1,2074.018050769807
1.1183673469387756,620.183621371291
2.136734693877551,448.6805370501731
3.1551020408163266,369.2375214744209
4.173469387755102,321.0435253500809
5.191836734693877,287.8405781949337
6.210204081632652,263.1840681355005
7.228571428571429,243.941838968379
8.246938775510204,228.38424798852148
9.26530612244898,215.467932991905
10.283673469387756,204.52122847666638
11.30204081632653,195.08959006812435
12.320408163265306,186.85296081824532
13.338775510204083,179.57858703508134
14.357142857142856,173.09260778578187
15.375510204081632,167.26218427733818
16.39387755102041,161.98383933753047
17.412244897959184,157.17560781304667
18.43061224489796,152.77160831976298
19.448979591836736,148.71820041414173
20.467346938775513,144.97120748343562
21.485714285714288,141.49387280084414
22.50408163265306,138.2553304539563
23.52244897959184,135.22944456878446
24.540816326530614,132.39391638328397
25.559183673469388,129.72958906289597
26.577551020408166,127.21990050547066
27.59591836734694,124.85044828925994
28.614285714285714,122.60864057683825
29.63265306122449,120.48341359934282
30.651020408163266,118.46500121619059
31.669387755102044,116.54474557343987
32.68775510204082,114.71494046995116
33.70612244897959,112.96870095703922
34.724489795918366,111.29985413237155
35.74285714285715,109.70284717376637
36.76122448979592,108.17266948611004
37.779591836734696,106.70478647121745
38.79795918367347,105.29508292404849
39.81632653061225,103.93981444425334
40.834693877551025,102.63556555531292
41.8530612244898,101.3792134637053
42.871428571428574,100.16789658190106
43.889795918367355,98.99898709238899
44.90816326530612,97.87006695358971
45.926530612244896,96.7789068487291
46.94489795918368,95.7234476603745
47.963265306122445,94.70178412015477
48.981632653061226,93.71215033812972
50.0,92.75290696165796
