r_kpc,vN_km_s,vQ_km_s,delta_v_km_s
0.5,927.5290696165796,968.2287807499763,40.69971113339672
1.5128205128205128,533.2352235142947,541.6055215287427,8.370298014447908
2.5256410256410255,412.69263660312276,414.98965995134165,2.297023348218878
3.5384615384615383,348.6625420148145,349.34842846584183,0.6858864510273561
4.551282051282051,307.429583483823,307.64308306436095,0.21349958053790033
5.564102564102564,278.0449223740492,278.11306080901204,0.06813843496283516
6.576923076923077,255.7414661594559,255.76357882132982,0.022112661873892648
7.589743589743589,238.06687974254532,238.07414212736919,0.007262384823843604
8.602564102564102,223.61378518450655,223.61619182594757,0.002406641441019019
9.615384615384615,211.50917024837833,211.50997335236931,0.000803103990998352
10.628205128205128,201.17896426487468,201.17923376187565,0.0002694970009906683
11.64102564102564,192.22811575049815,192.22820659878,9.084828186314553e-05
12.653846153846153,184.37467036528668,184.3747011070932,3.074180652038194e-05
13.666666666666666,177.41128064305053,177.4112910791362,1.0436085663968697e-05
14.679487179487179,171.1816033670846,171.18160691964732,3.552562731783837e-06
15.692307692307692,165.56522524599862,165.5652264582203,1.2122216867282987e-06
16.705128205128204,160.4676990670528,160.46769948155688,4.145040875300765e-07
17.717948717948715,155.81376138712383,155.81376152911955,1.4199569704942406e-07
18.73076923076923,151.5425968997898,151.54259694851262,4.872283898293972e-08
19.743589743589745,147.60445745294854,147.6044574696912,1.6742676962167025e-08
20.756410256410255,143.95820035437367,143.95820036013455,5.76089951209724e-09
21.769230769230766,140.569464454709,140.5694644566936,1.984590198844671e-09
22.78205128205128,137.40929749851952,137.40929749920394,6.844056770205497e-10
23.794871794871796,134.45310846238675,134.453108462623,2.362357918173075e-10
24.807692307692307,131.67985769339998,131.6798576934816,8.163624443113804e-11
25.820512820512818,129.07142358200616,129.0714235820344,2.8230715543031692e-11
26.833333333333332,126.61210202259531,126.61210202260509,9.778887033462525e-12
27.846153846153847,124.28820696507394,124.28820696507732,3.3760443329811098e-12
28.858974358974358,122.0877487819778,122.08774878197897,1.178705133497715e-12
29.87179487179487,120.00017314788673,120.00017314788715,4.220055416226387e-13
30.884615384615383,118.01614742077271,118.01614742077287,1.4551915228366852e-13
31.897435897435898,116.12738463932813,116.12738463932818,5.820766091346741e-14
32.91025641025641,114.3264975507247,114.32649755072471,1.4551915228366852e-14
33.92307692307692,112.60687679522619,112.60687679522619,0.0
34.93589743589743,110.96258866093979,110.96258866093979,0.0
35.94871794871795,109.38828879837568,109.38828879837568,0.0
36.96153846153846,107.879149031806,107.879149031806,0.0
37.97435897435897,106.43079498112068,106.43079498112068,0.0
38.98717948717949,105.03925265636836,105.03925265636836,0.0
40.0,103.70090253849035,103.70090253849035,0.0
