r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
1.87,27.7,3.0,8.68,18.19,0.0,20.154862936770375,23.677935114909353,31.094422511213445,7.545137063229625,-3.3944225112134454,2.5150456877432084,-1.1314741704044817
3.36,42.4,1.5,15.07,19.75,0.0,24.84285410334328,35.00451884563514,42.924162654784844,17.557145896656717,-0.5241626547848455,11.704763931104479,-0.34944176985656367
4.86,52.5,1.0,20.59,19.94,0.0,28.66272317837229,42.277582889539836,51.07783976424523,23.83727682162771,1.4221602357547667,23.83727682162771,1.4221602357547667
6.35,55.6,1.0,24.61,19.17,0.0,31.195207965326983,46.884689749209386,56.31443094695728,24.40479203467302,-0.7144309469572789,24.40479203467302,-0.7144309469572789
7.85,58.6,1.1,26.94,18.71,0.0,32.79981249946408,49.84302070266292,59.6670295285938,25.80018750053592,-1.0670295285937996,23.454715909578105,-0.9700268441761813
9.34,59.0,1.2,27.6,17.41,0.0,32.63231680405178,51.71696911650244,61.1515575811219,26.367683195948217,-2.1515575811218994,21.97306932995685,-1.7929646509349162
10.83,60.0,1.3,26.77,16.05,0.0,31.212744192076414,52.913917988365576,61.433851554981295,28.787255807923586,-1.4338515549812954,22.144042929171988,-1.1029627346009965
12.33,62.2,1.0,24.9,15.01,0.0,29.074217100379503,53.682506824090545,61.05015674769826,33.1257828996205,1.1498432523017428,33.1257828996205,1.1498432523017428
