r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
0.22,10.7,4.9,0.47,5.59,0.0,5.6097237008608545,4.534627224612283,7.213310201717024,5.090276299139145,3.486689798282975,1.038831897783499,0.7115693465883622
0.76,24.7,4.9,1.87,17.63,0.0,17.728897314836022,14.14766197786858,22.681934208528784,6.971102685163977,2.0180657914712157,1.4226740173804033,0.41185016152473786
1.31,38.9,4.9,3.27,26.64,0.0,26.83994225031045,22.065569714007918,34.745817975747,12.060057749689548,4.1541820242529965,2.461236275446846,0.8477922498475503
1.94,42.7,7.89,4.87,32.27,0.0,32.63540715235525,29.276340979018713,43.842604178125306,10.064592847644754,-1.1426041781253033,1.275613795645723,-0.1448167526141069
3.92,55.0,4.9,8.5,38.26,0.0,39.19282587413161,43.20949554292178,58.336421771255196,15.807174125868393,-3.3364217712551962,3.225953903238447,-0.6809024022969787
4.35,57.2,4.9,9.17,38.43,0.0,39.508907856330325,45.057378183233794,59.92596372814502,17.691092143669678,-2.725963728145018,3.6104269680958523,-0.5563191281928608
5.0,59.8,4.9,10.3,39.09,0.0,40.42422664690074,47.32394884545071,62.2388482728178,19.375773353099255,-2.4388482728178005,3.9542394598161743,-0.4977241373097552
5.05,62.5,3.43,10.4,39.06,0.0,40.42083126309997,47.475664228436685,62.352083316688486,22.07916873690003,0.14791668331151442,6.437075433498551,0.04312439746691382
5.83,61.8,3.98,12.1,38.38,0.0,40.24219675912338,49.4966989980586,63.79151676911606,21.557803240876616,-1.9915167691160605,5.41653347760719,-0.5003810977678544
6.09,64.4,4.9,12.72,38.13,0.0,40.195712457922674,50.04491276669006,64.18869521828293,24.20428754207733,0.21130478171707523,4.939650518791292,0.04312342484021943
6.74,67.2,4.9,14.18,39.23,0.0,41.714089945724574,51.19531495352453,66.03806154931088,25.48591005427543,1.1619384506891208,5.201206133525598,0.23713029605900424
7.29,69.9,4.9,15.33,36.96,0.0,40.0131290953357,51.96517363935531,65.58528624141506,29.886870904664306,4.3147137585849435,6.099361409115164,0.8805538282826415
