r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
0.13,232.0,33.4,-2.47,8.23,149.99,150.2359274607775,1.120771297382463,150.24010792162338,81.7640725392225,81.75989207837662,2.4480261239288175,2.447900960430438
0.25,233.0,16.9,-2.73,15.54,220.78,221.34306607617054,2.150018730122829,221.35350794721975,11.656933923829456,11.646492052780246,0.6897594037768909,0.68914154158463
0.38,234.0,14.6,-2.63,23.07,253.99,255.04913624633195,3.2593134618192896,255.06996103861857,-21.049136246331955,-21.069961038618573,-1.4417216607076682,-1.4431480163437378
0.51,235.0,10.6,-2.41,30.21,269.15,270.85083477811173,4.362686899120695,270.8859681433864,-35.85083477811173,-35.88596814338638,-3.3821542243501637,-3.3854686927723
0.63,236.0,9.12,-2.13,36.51,276.27,278.68015699005196,5.375957207122214,278.7320053669704,-42.680156990051955,-42.732005366970384,-4.679841775224996,-4.685526904273069
0.76,237.0,10.3,-1.79,43.02,278.6,281.90758148726684,6.468032230767297,281.9817723558355,-44.90758148726684,-44.98177235583552,-4.35995936769581,-4.367162364644225
0.89,238.0,9.95,-1.58,49.25,279.31,283.62322718705536,7.554277876946261,283.7238130898465,-45.62322718705536,-45.72381308984649,-4.585248963523153,-4.595358099482059
1.01,239.0,3.51,-1.03,54.76,280.44,285.73818803233144,8.551819074927536,285.86613249822074,-46.738188032331436,-46.866132498220736,-13.315723086134312,-13.35217450091759
1.14,240.0,3.18,0.66,60.48,280.12,286.57543579309095,9.626941694008332,286.7370893455882,-46.575435793090946,-46.737089345588174,-14.646363456946839,-14.697197907417664
1.27,240.0,5.19,1.42,65.96,277.94,285.663056064308,10.696325425708656,285.86324173914466,-45.66305606430802,-45.863241739144655,-8.798276698325244,-8.836848119295693
1.39,241.0,3.54,1.91,70.82,277.61,286.50729938345376,11.678381678431885,286.7452130352434,-45.507299383453756,-45.74521303524341,-12.855169317359818,-12.922376563628081
1.52,242.0,2.6,2.31,75.88,276.52,286.75149677028713,12.73681504704695,287.0342268049974,-44.75149677028713,-45.03422680499739,-17.212114142418127,-17.320856463460533
1.65,242.0,1.75,2.69,80.73,274.47,286.1089825573465,13.789598613681832,286.4410985349806,-44.10898255734651,-44.4410985349806,-25.20513288991229,-25.39491344856034
1.77,243.0,1.94,3.02,85.03,272.42,285.39775349501264,14.756410295708903,285.7789868846471,-42.39775349501264,-42.77898688464711,-21.854512110831255,-22.051024167343872
1.9,244.0,3.09,3.34,89.52,270.29,284.74843300710194,15.798413482989707,285.1863600675522,-40.74843300710194,-41.18636006755219,-13.18719514792943,-13.328919115712683
2.03,244.0,1.6,3.66,93.85,268.35,284.31134447995566,16.83485457080614,284.809327319911,-40.311344479955665,-40.809327319911006,-25.19459029997229,-25.50582957494438
2.16,244.0,3.0,3.96,97.99,266.67,284.1313263264014,17.86576324903992,284.6924587980348,-40.13132632640139,-40.69245879803481,-13.37710877546713,-13.564152932678269
2.28,245.0,2.19,4.26,101.66,265.58,284.4040077073458,18.81248637885321,285.025523846119,-39.404007707345784,-40.02552384611897,-17.992697583262917,-18.27649490690364
2.41,245.0,3.01,4.56,105.49,264.78,285.05680504067954,19.832838674005817,285.7459073895357,-40.056805040679535,-40.74590738953572,-13.307908651388551,-13.536846308815853
2.54,246.0,2.64,4.87,109.17,264.37,286.065207076988,20.847744439797676,286.8238678147743,-40.065207076987974,-40.8238678147743,-15.176214801889383,-15.463586293475114
2.66,246.0,2.38,5.17,112.45,264.0,286.9977898869606,21.779771478992497,287.8230182693475,-40.99778988696062,-41.82301826934747,-17.22596213737841,-17.57269675182667
2.79,246.0,3.72,5.46,115.87,263.68,288.06737215450136,22.78428472963517,288.96701287628156,-42.067372154501356,-42.96701287628156,-11.308433374865956,-11.550272278570311
2.92,247.0,3.54,5.76,119.17,263.16,288.9426450006991,23.78343599801179,289.9198232751109,-41.94264500069909,-42.9198232751109,-11.848204802457369,-12.124243863025677
3.04,247.0,3.74,6.05,122.1,262.58,289.64334775720295,24.70099507567273,290.69469905336837,-42.643347757202946,-43.69469905336837,-11.401964640963353,-11.683074613200098
3.17,247.0,5.11,6.34,125.13,261.72,290.1638690464407,25.68991515309165,291.2988888419814,-43.16386904644071,-44.29888884198141,-8.446941104978611,-8.669058481796753
3.3,247.0,3.63,6.65,128.05,260.64,290.47243345970026,26.673556482903745,291.69455465511635,-43.472433459700255,-44.69455465511635,-11.975876986143321,-12.312549491767589
3.42,247.0,3.84,6.94,130.65,259.42,290.54487174961463,27.57687218684027,291.85065766519926,-43.54487174961463,-44.850657665199265,-11.339810351462143,-11.679858766978976
3.55,248.0,5.12,7.23,133.35,257.92,290.4431472767089,28.550441145633698,291.8430219991739,-42.443147276708885,-43.843021999173914,-8.289677202482205,-8.563090234213655
3.68,248.0,2.77,7.53,135.94,256.73,290.5971049408442,29.51881329941898,292.0925157182326,-42.59710494084419,-44.09251571823262,-15.378016224131477,-15.917875710553291
3.8,248.0,3.24,7.83,138.27,255.39,290.52358578951896,30.408106731136503,292.11060722776256,-42.52358578951896,-44.11060722776256,-13.12456351528363,-13.614384946840294
3.93,248.0,6.79,8.14,140.68,253.66,290.1732544532662,31.36656286846222,291.86363059857456,-42.173254453266225,-43.86363059857456,-6.211083130083391,-6.460033961498462
4.06,248.0,8.39,8.44,143.0,251.85,289.7389447416415,32.31990287137299,291.53598786704697,-41.73894474164149,-43.53598786704697,-4.974844426894099,-5.189033118837541
4.18,248.0,2.73,8.74,145.04,249.97,289.1331701828761,33.19539170019647,291.0325138710956,-41.133170182876086,-43.0325138710956,-15.067095305082816,-15.762825593807912
4.31,248.0,13.7,9.04,147.17,247.82,288.36692407417326,34.13896961409736,290.38070209005326,-40.366924074173255,-42.38070209005326,-2.9464908083338144,-3.09348190438345
4.44,248.0,4.89,9.34,149.24,245.63,287.5654883674326,35.077510811918486,289.696982836826,-39.56548836743258,-41.69698283682601,-8.091101915630384,-8.526990355179144
4.56,248.0,5.71,9.66,151.08,243.5,286.72413920003316,35.93940932826519,288.9677718065885,-38.724139200033164,-40.96777180658847,-6.781810718044337,-7.1747411219944786
4.69,248.0,15.1,9.96,152.98,241.12,285.728781189435,36.868339975092326,288.09757182683614,-37.72878118943498,-40.097571826836145,-2.498594780757284,-2.655468332903056
4.82,248.0,10.5,10.27,154.8,238.76,284.73645797473847,37.7923120913547,287.2335449650865,-36.73645797473847,-39.23354496508648,-3.4987102833084256,-3.736528091912998
4.94,248.0,1.58,10.63,156.43,236.51,283.76102956537216,38.64083125918858,286.37988012498556,-35.761029565372155,-38.37988012498556,-22.633563016058325,-24.291063370244025
4.99,248.0,4.77,10.73,157.09,235.57,283.34718262230876,38.993145528924735,286.01764158568943,-35.347182622308765,-38.01764158568943,-7.410310822286953,-7.970155468697995
5.07,248.0,4.36,10.94,158.13,234.04,282.6649997788902,39.555342010131085,285.41921305605626,-34.664999778890206,-37.419213056056265,-7.9506880226812395,-8.582388315609235
5.2,248.0,8.45,11.25,159.77,231.52,281.5218034184919,40.4649712023428,284.41508345094223,-33.52180341849191,-36.415083450942234,-3.9670773276321794,-4.309477331472454
5.45,247.0,8.25,11.88,162.71,226.76,279.348843026063,42.20063340754822,282.51844109721094,-32.34884302606298,-35.51844109721094,-3.921071881947028,-4.3052655875407195
5.58,247.0,2.34,12.19,164.01,224.24,278.0853354637745,43.09614232254635,281.4049240562169,-31.085335463774527,-34.404924056216885,-13.284331394775439,-14.702958998383284
5.7,247.0,2.34,12.5,165.02,222.01,276.90484015271386,43.91852263680937,280.3660591630163,-29.90484015271386,-33.3660591630163,-12.779846219108487,-14.25899964231466
5.83,247.0,6.13,12.81,165.84,219.54,275.4356790613736,44.804861646305696,279.05606771246636,-28.435679061373605,-32.05606771246636,-4.638773093209397,-5.22937483074492
6.47,247.0,6.89,14.58,169.31,208.79,269.2057142781334,49.099876338690386,273.6466964106724,-22.205714278133428,-26.646696410672405,-3.2228903161296705,-3.867445052347229
6.59,246.0,5.95,14.9,170.15,206.9,268.2920843036559,49.892668465268564,272.89177500720905,-22.292084303655884,-26.89177500720905,-3.7465687905304006,-4.519626051631772
6.66,246.0,2.29,15.11,170.65,205.85,267.81328775846805,50.35332497426378,272.5058062426631,-21.81328775846805,-26.505806242663084,-9.525453169636704,-11.574587878892176
6.72,246.0,4.73,15.31,171.08,204.88,267.3547772155942,50.74711813535562,272.1283647454703,-21.354777215594197,-26.12836474547032,-4.514752054036828,-5.523967176632203
6.85,246.0,3.02,15.63,172.07,202.98,266.5581778899308,51.5970068462161,271.5060097225998,-20.55817788993079,-25.5060097225998,-6.807343672162513,-8.445698583642317
6.97,246.0,5.81,16.04,173.03,201.26,265.8989471585023,52.377492370614426,271.00858253390015,-19.898947158502324,-25.008582533900153,-3.4249478758179563,-4.304403190000027
7.1,246.0,6.32,16.36,174.15,199.41,265.2550097547641,53.21867832147458,270.54102816815896,-19.255009754764103,-24.54102816815896,-3.046678758665206,-3.8830740772403414
7.23,246.0,8.92,16.67,175.27,197.66,264.70160067517537,54.05537411339556,270.1646180952257,-18.70160067517537,-24.164618095225705,-2.096592003943427,-2.7090379030522094
8.32,246.0,2.13,19.69,182.58,184.24,260.1298331602894,60.89732152482908,267.1628976278301,-14.129833160289422,-21.16289762783009,-6.63372448839879,-9.935632689122109
10.0,245.0,2.18,23.65,183.56,168.07,250.00224198994695,70.85936802733217,259.85028581326,-5.002241989946953,-14.850285813259973,-2.294606417406859,-6.812057712504574
11.61,245.0,0.94,26.98,182.9,155.97,241.88214340872707,79.78101773958366,254.69978816552592,3.1178565912729255,-9.699788165525916,3.3168687141201336,-10.31892358034672
13.35,246.0,2.02,29.27,173.27,145.45,228.11165752762395,88.7808116151445,244.7794125555574,17.888342472376053,1.2205874444426001,8.85561508533468,0.6042512101200991
14.98,245.0,1.33,30.52,164.53,137.31,216.4616072193866,96.64640358707389,237.05728152983525,28.538392780613407,7.942718470164749,21.457438180912334,5.9719687745599614
16.61,245.0,1.36,32.19,157.52,130.4,207.00943577528056,104.00147152538905,231.66616623807266,37.990564224719435,13.333833761927337,27.934238400528994,9.804289530828925
18.34,245.0,1.59,34.17,152.73,124.1,199.7369565203195,111.28625684142628,228.6470703109399,45.263043479680505,16.35292968906009,28.467322943195285,10.284861439660434
19.97,245.0,2.03,36.46,150.07,118.93,194.92224449764578,117.69111061129658,227.69690142143008,50.07775550235422,17.303098578569916,24.668845075051344,8.523693881068924
21.6,245.0,2.36,38.96,146.26,114.35,189.69921375693679,123.68025100663995,226.45660994783407,55.300786243063214,18.543390052165933,23.432536543670857,7.857368666172006
23.33,244.0,4.61,41.25,143.04,110.03,185.11781383756667,129.6121611363072,225.9821172447591,58.88218616243333,18.01788275524089,12.772708495104842,3.9084344371455293
26.7,243.0,10.6,44.17,136.92,102.85,176.8507783415159,140.02191222005305,225.57112781063145,66.1492216584841,17.428872189368548,6.2404926092909525,1.6442332254121272
29.95,239.0,17.0,44.8,130.32,97.11,168.58438391499968,148.7815467394743,224.8480445771997,70.41561608500032,14.151955422800313,4.1420950638235485,0.8324679660470773
33.32,231.0,18.3,44.07,123.68,92.07,160.36144237315904,156.70790001887508,224.2167659394046,70.63855762684096,6.78323406059539,3.8600304714120743,0.37066852790138743
36.68,219.0,12.1,44.17,117.57,87.75,153.21147574512818,163.58830286894386,224.1314104170616,65.78852425487182,-5.131410417061602,5.43706812023734,-0.4240835055422812
39.94,210.0,7.5,43.75,111.91,84.09,146.65960145861573,169.4132022922165,224.0755939653033,63.340398541384275,-14.075593965303312,8.44538647218457,-1.8767458620404416
43.3,210.0,3.56,43.34,107.39,80.76,141.18479131974522,174.65218478617803,224.5807893622811,68.81520868025478,-14.58078936228111,19.33011479782438,-4.095727348955368
46.67,212.0,2.64,44.9,104.0,77.79,137.4164986455411,179.2269916439984,225.84421319519763,74.58350135445889,-13.844213195197625,28.251326270628365,-5.24402014969607
49.92,213.0,6.5,46.88,101.06,75.22,134.42063234488967,183.07661645722,227.1254144595537,78.57936765511033,-14.125414459553696,12.08913348540159,-2.173140686085184
53.29,218.0,6.53,47.82,96.26,72.8,129.81748726577632,186.56003647835095,227.28226330007286,88.18251273422368,-9.282263300072856,13.504213282423228,-1.4214798315578645
