galaxy,n,chi2_bary,redchi2_bary,chi2_qds,redchi2_qds,improve_pct,v0,lam,out_csv
F574-2,5,3.35699,0.671398,3.35699,1.119,-66.667,0,0.2,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/F574-2_QDS_bestfit.csv
F579-V1,14,192.098,13.7213,0.441744,0.036812,99.732,84.3113,0.775107,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/F579-V1_QDS_bestfit.csv
F583-1,25,905.976,36.239,8.34642,0.362888,98.999,83.2756,3.93819,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/F583-1_QDS_bestfit.csv
F583-4,12,209.296,17.4413,3.52223,0.352223,97.981,55.1854,2.56578,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/F583-4_QDS_bestfit.csv
IC2574,34,7407.34,217.863,86.2142,2.69419,98.763,134.025,18.7995,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/IC2574_QDS_bestfit.csv
IC4202,32,1850.47,57.8273,1622.87,54.0957,6.453,275.862,40,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/IC4202_QDS_bestfit.csv
KK98-251,15,228.241,15.2161,4.55582,0.350448,97.697,52.6556,3.93819,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/KK98-251_QDS_bestfit.csv
NGC0024,29,1588.69,54.7823,15.9766,0.591725,98.920,94.4302,1.28673,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC0024_QDS_bestfit.csv
NGC0055,21,1263.1,60.1477,47.1989,2.48415,95.870,84.3862,7.06207,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC0055_QDS_bestfit.csv
NGC0100,21,473.5,22.5476,7.80928,0.411015,98.177,123.397,9.0488,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC0100_QDS_bestfit.csv
NGC0247,26,4174.91,160.573,74.5328,3.10553,98.066,70.3685,2.52003,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC0247_QDS_bestfit.csv
NGC0289,28,2037.15,72.7553,65.6466,2.52487,96.530,147.172,16.669,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC0289_QDS_bestfit.csv
NGC0300,25,2506.84,100.273,10.0041,0.434963,99.566,89.9599,3.93819,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC0300_QDS_bestfit.csv
NGC0801,13,686.64,52.8185,541.008,49.1825,6.884,126.777,40,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC0801_QDS_bestfit.csv
NGC0891,18,3702.46,205.692,3702.46,231.404,-12.500,0,0.2,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC0891_QDS_bestfit.csv
NGC1003,36,15108,419.666,88.1922,2.59389,99.382,108.844,10.0422,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC1003_QDS_bestfit.csv
NGC1090,24,2278.53,94.9388,165.983,7.54469,92.053,209.697,39.7124,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC1090_QDS_bestfit.csv
NGC1705,14,922.977,65.9269,2.78283,0.231903,99.648,64.7622,0.579048,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC1705_QDS_bestfit.csv
NGC2366,26,1674.49,64.4034,54.9206,2.28836,96.447,52.4832,2.70956,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC2366_QDS_bestfit.csv
NGC2403,73,149505,2048.01,1627.98,22.9293,98.880,120.948,5.92493,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC2403_QDS_bestfit.csv
NGC2683,11,136.785,12.435,51.9523,5.77248,53.579,208.728,40,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC2683_QDS_bestfit.csv
NGC2841,50,20497.7,409.953,104.835,2.18405,99.467,238.882,10.0422,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC2841_QDS_bestfit.csv
NGC2903,34,7660.35,225.304,6142.55,191.955,14.802,253.241,40,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC2903_QDS_bestfit.csv
NGC2915,30,1501.88,50.0628,28.246,1.00879,97.985,79.1993,1.63777,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC2915_QDS_bestfit.csv
NGC2955,24,1386.14,57.7558,1386.14,63.0063,-9.091,0,0.2,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC2955_QDS_bestfit.csv
NGC2976,27,28.2704,1.04705,28.2704,1.13081,-8.000,0,0.2,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC2976_QDS_bestfit.csv
NGC2998,13,2009.13,154.548,36.2845,3.29859,97.866,185.256,25.4263,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC2998_QDS_bestfit.csv
NGC3109,25,3186.47,127.459,4.98555,0.216763,99.830,83.5448,4.31724,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC3109_QDS_bestfit.csv
NGC3198,43,12645.3,294.076,338.771,8.26271,97.190,137.768,14.9175,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC3198_QDS_bestfit.csv
