r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
0.75,169.0,4.27,0.0,53.73,163.04,171.66523963808163,0.0,171.66523963808163,-2.66523963808163,-2.66523963808163,-0.6241779011900773,-0.6241779011900773
1.55,203.0,4.92,0.16,99.45,214.33,236.27881199972205,0.0,236.27881199972205,-33.27881199972205,-33.27881199972205,-6.763986178805295,-6.763986178805295
2.3,232.0,5.49,0.0,134.15,231.92,267.9236997729017,0.0,267.9236997729017,-35.92369977290173,-35.92369977290173,-6.543479011457509,-6.543479011457509
3.06,256.0,4.38,1.12,162.98,250.27,298.66169439685433,0.0,298.66169439685433,-42.66169439685433,-42.66169439685433,-9.74011287599414,-9.74011287599414
3.85,248.0,3.47,10.81,187.48,252.3,314.51692561768436,0.0,314.51692561768436,-66.51692561768436,-66.51692561768436,-19.16914282930385,-19.16914282930385
4.61,253.0,5.68,18.83,206.85,245.12,321.28695242726553,0.0,321.28695242726553,-68.28695242726553,-68.28695242726553,-12.022350779448157,-12.022350779448157
5.36,269.0,8.42,25.11,220.81,233.77,322.54609143500716,0.0,322.54609143500716,-53.546091435007156,-53.546091435007156,-6.359393282067359,-6.359393282067359
6.12,268.0,4.67,29.26,232.37,221.48,322.34353553313275,0.0,322.34353553313275,-54.34353553313275,-54.34353553313275,-11.636731377544487,-11.636731377544487
6.91,260.0,5.58,31.48,243.48,209.61,322.81550907600456,0.0,322.81550907600456,-62.81550907600456,-62.81550907600456,-11.257259691040243,-11.257259691040243
7.66,245.0,8.47,32.44,254.23,199.62,324.8590323509568,0.0,324.8590323509568,-79.8590323509568,-79.8590323509568,-9.42845718429242,-9.42845718429242
8.42,247.0,6.0,32.35,258.51,190.58,322.7920057870083,0.0,322.7920057870083,-75.79200578700829,-75.79200578700829,-12.632000964501382,-12.632000964501382
8.86,267.0,10.3,32.44,258.41,185.85,319.9504714795714,0.0,319.9504714795714,-52.95047147957138,-52.95047147957138,-5.140822473744794,-5.140822473744794
9.21,255.0,7.27,32.44,257.39,182.29,317.06720076349745,0.0,317.06720076349745,-62.06720076349745,-62.06720076349745,-8.537441645598,-8.537441645598
10.82,253.0,11.2,33.51,252.03,168.18,304.838569410106,0.0,304.838569410106,-51.838569410106004,-51.838569410106004,-4.628443697330893,-4.628443697330893
11.56,271.0,11.3,34.86,249.34,162.76,299.7940506414362,0.0,299.7940506414362,-28.794050641436172,-28.794050641436172,-2.5481460744633777,-2.5481460744633777
12.4,276.0,8.71,37.47,246.01,157.16,294.3198712285665,0.0,294.3198712285665,-18.319871228566512,-18.319871228566512,-2.103314721993859,-2.103314721993859
14.17,275.0,10.1,44.03,245.22,146.96,289.25547687122537,0.0,289.25547687122537,-14.255476871225369,-14.255476871225369,-1.4114333535866703,-1.4114333535866703
16.88,275.0,10.0,57.16,236.05,134.67,277.71005923444693,0.0,277.71005923444693,-2.7100592344469305,-2.7100592344469305,-0.27100592344469304,-0.27100592344469304
19.49,276.0,11.7,67.4,232.49,125.34,272.5884731605502,0.0,272.5884731605502,3.4115268394497775,3.4115268394497775,0.29158349055126304,0.29158349055126304
22.19,267.0,15.7,77.25,219.85,117.47,260.96127279732525,0.0,260.96127279732525,6.03872720267475,6.03872720267475,0.3846323059028503,0.3846323059028503
24.8,257.0,15.1,79.95,209.2,111.12,250.00859365229826,0.0,250.00859365229826,6.991406347701741,6.991406347701741,0.463007042894155,0.463007042894155
27.51,254.0,13.6,78.21,199.59,105.5,238.9209538738702,0.0,238.9209538738702,15.07904612612981,15.07904612612981,1.1087533916271919,1.1087533916271919
30.12,248.0,11.6,75.51,191.82,100.83,229.4849916661218,0.0,229.4849916661218,18.5150083338782,18.5150083338782,1.5961214080929482,1.5961214080929482
35.43,227.0,11.2,77.83,176.46,92.96,214.09624494605225,0.0,214.09624494605225,12.903755053947748,12.903755053947748,1.1521209869596205,1.1521209869596205
