r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
9.19,248.0,7.0,0.0,218.11,0.0,218.11,78.1684969801991,231.69438063997885,29.889999999999986,16.305619360021154,4.269999999999998,2.3293741942887363
13.79,264.0,6.6,6.57,246.64,0.0,246.72749036132961,104.04444958328568,267.7680003082685,17.272509638670385,-3.7680003082684834,2.6170469149500586,-0.5709091376164369
18.35,272.0,5.7,31.53,243.17,0.0,245.20560719526785,123.65121955760848,274.61866997362705,26.794392804732155,-2.61866997362705,4.700770667496869,-0.4594157848468508
22.94,271.0,5.7,46.25,231.91,0.0,236.47687117348283,138.74242121379214,274.1728834955516,34.523128826517166,-3.1728834955516163,6.056689267810029,-0.5566462272897572
27.52,264.0,5.3,52.31,206.95,0.0,213.45875151888245,150.24960421100243,261.0355955910283,50.54124848111755,2.9644044089716886,9.536084619078784,0.5593215865984318
32.11,242.0,7.4,49.34,187.25,0.0,193.64141628277767,159.06252846008928,250.59506391810015,48.35858371722233,-8.595063918100152,6.534943745570585,-1.1614951240675881
36.7,244.0,5.3,46.74,173.25,0.0,179.44411414142286,165.79525182763734,244.31180001913472,64.55588585857714,-0.3118000191347221,12.180355822373047,-0.05883019228957021
41.44,241.0,6.2,45.26,161.14,0.0,167.37552748236521,171.0846173362072,239.34183397199172,73.62447251763479,1.6581660280082815,11.874914922199158,0.2674461335497228
46.02,237.0,8.6,44.89,151.17,0.0,157.69426432181987,174.9722523374959,235.54780849767278,79.30573567818013,1.4521915023272243,9.221597171881411,0.16885947701479354
