r_kpc,vobs,verr,vgas,vdisk,vbul,v_bary,v_qds_component,v_model,res_bary,res_qds,res_bary_norm,res_qds_norm
3.23,194.0,16.7,-7.97,37.15,248.5,251.3879340779903,17.24525066736246,251.97875321260753,-57.38793407799031,-57.97875321260753,-3.4364032382030127,-3.471781629497457
9.18,172.0,8.1,-15.63,83.53,176.71,196.08156950616242,45.58728342179274,201.31115793661033,-24.081569506162424,-29.31115793661033,-2.9730332723657313,-3.6186614736555964
10.64,170.0,10.7,-16.24,92.09,164.32,189.06445488245535,51.92108052653044,196.06419026186921,-19.06445488245535,-26.064190261869214,-1.7817247553696591,-2.4359056319503942
11.58,170.0,6.8,-16.14,99.29,157.52,186.89985045472886,55.878355205480645,195.07420301123847,-16.899850454728863,-25.074203011238467,-2.4852721256954213,-3.687382795770363
12.52,171.0,6.8,-16.04,107.74,151.54,186.62679550375395,59.74371812249525,195.95630292261632,-15.626795503753954,-24.956302922616317,-2.298058162316758,-3.670044547443576
13.57,172.0,12.1,-16.04,120.8,145.51,189.79747548373766,63.95535695911051,200.28322292136014,-17.797475483737657,-28.283222921360135,-1.4708657424576577,-2.3374564397818296
15.76,174.0,19.6,-15.53,131.65,135.02,189.21760964561412,72.39178843687394,202.59287952218142,-15.217609645614118,-28.59287952218142,-0.7764086553884754,-1.4588203837847662
24.94,193.0,23.2,18.69,111.71,107.35,156.05275614355548,103.13375792534261,187.05356110965425,36.947243856444516,5.946438890345746,1.5925536145019188,0.25631202113559254
26.3,194.0,23.0,21.04,108.26,104.53,151.9520651389773,107.11737745393712,185.91278238090365,42.047934861022696,8.08721761909635,1.8281710809140304,0.35161815735201524
34.96,201.0,7.2,34.22,92.64,90.67,134.0679935704268,129.54010215225088,186.42656722048926,66.93200642957319,14.573432779510739,9.296112004107387,2.024087886043158
36.84,202.0,17.1,37.39,88.8,88.32,130.70529637317685,133.79904846888965,187.045609066827,71.29470362682315,14.954390933172988,4.169280913849307,0.8745257855656717
47.38,205.0,16.0,54.35,75.25,77.88,121.1683927433223,154.30011377264424,196.18946075223042,83.8316072566777,8.810539247769583,5.239475453542356,0.5506587029855989
64.59,204.0,16.0,61.29,63.17,66.7,110.43460961129894,178.07725920965544,209.54071978406205,93.56539038870106,-5.540719784062048,5.847836899293816,-0.346294986503878
